"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"1","GO:0000177",0.0119738185950885,0.999947763540841,1,4,"cytoplasmic exosome (RNase complex)","CC","cytoplasmic exosome (RNase complex)"
"2","GO:0071020",0.0122650829451861,0.999945184383681,1,4,"post-spliceosomal complex","CC","post-spliceosomal complex"
"3","GO:0005851",0.0144662830991623,0.999918602206365,1,5,"eukaryotic translation initiation factor 2B complex","CC","eukaryotic translation initiation factor 2B complex"
"4","GO:0000176",0.0220136285661918,0.999797498744812,1,7,"nuclear exosome (RNase complex)","CC","cytoplasmic exosome (RNase complex)"
"5","GO:0008076",0.0225155814397136,0.999788116102217,1,7,"voltage-gated potassium channel complex","CC","potassium channel complex"
"6","GO:0034705",0.0225155814397136,0.999788116102217,1,7,"potassium channel complex","CC","potassium channel complex"
"7","GO:0000178",0.0285061479795939,0.999647053711995,1,9,"exosome (RNase complex)","CC","cytoplasmic exosome (RNase complex)"
"8","GO:1905354",0.0285061479795939,0.999647053711995,1,9,"exoribonuclease complex","CC","cytoplasmic exosome (RNase complex)"
"9","GO:0071012",0.0399988624674931,0.999275454238516,1,13,"catalytic step 1 spliceosome","CC","post-spliceosomal complex"
"10","GO:0071014",0.0430985321550357,0.999152868391892,1,14,"post-mRNA release spliceosomal complex","CC","post-spliceosomal complex"
