"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"1","GO:0050577",0.00328244397522634,1,1,1,"GDP-L-fucose synthase activity","MF","GDP-L-fucose synthase activity"
"2","GO:0003986",0.00540626962636748,1,1,1,"acetyl-CoA hydrolase activity","MF","hydroxymethylglutaryl-CoA hydrolase activity"
"3","GO:0004778",0.00540626962636748,1,1,1,"succinyl-CoA hydrolase activity","MF","hydroxymethylglutaryl-CoA hydrolase activity"
"4","GO:0047994",0.00540626962636748,1,1,1,"hydroxymethylglutaryl-CoA hydrolase activity","MF","hydroxymethylglutaryl-CoA hydrolase activity"
"5","GO:0016857",0.0129413386191605,0.999938955108233,1,4,"racemase and epimerase activity, acting on carbohydrates and derivatives","MF","racemase and epimerase activity, acting on carbohydrates and derivatives"
"6","GO:0016747",0.0139916511674029,0.999242487333186,2,63,"acyltransferase activity, transferring groups other than amino-acyl groups","MF","acyltransferase activity, transferring groups other than amino-acyl groups"
"7","GO:0016289",0.016392297546487,0.999895400905396,1,5,"CoA hydrolase activity","MF","hydroxymethylglutaryl-CoA hydrolase activity"
"8","GO:0016854",0.0170279247626159,0.999887101758027,1,5,"racemase and epimerase activity","MF","racemase and epimerase activity, acting on carbohydrates and derivatives"
"9","GO:0016746",0.0174802001627758,0.998933220397125,2,71,"acyltransferase activity","MF","acyltransferase activity, transferring groups other than amino-acyl groups"
"10","GO:0016417",0.0211592509225504,0.999812976264412,1,7,"S-acyltransferase activity","MF","acyltransferase activity, transferring groups other than amino-acyl groups"
"11","GO:0019706",0.0211592509225504,0.999812976264412,1,7,"protein-cysteine S-palmitoyltransferase activity","MF","acyltransferase activity, transferring groups other than amino-acyl groups"
"12","GO:0019707",0.0211592509225504,0.999812976264412,1,7,"protein-cysteine S-acyltransferase activity","MF","acyltransferase activity, transferring groups other than amino-acyl groups"
"13","GO:0005249",0.0275841524470528,0.999669634603822,1,9,"voltage-gated potassium channel activity","MF","voltage-gated potassium channel activity"
"14","GO:0004659",0.0282999036256614,0.999657558341928,1,8,"prenyltransferase activity","MF","prenyltransferase activity"
"15","GO:0016409",0.0319020591991403,0.999547407257382,1,11,"palmitoyltransferase activity","MF","acyltransferase activity, transferring groups other than amino-acyl groups"
"16","GO:0016790",0.0363082806896227,0.999407920208663,1,12,"thiolester hydrolase activity","MF","hydroxymethylglutaryl-CoA hydrolase activity"
"17","GO:0005267",0.0363957486312647,0.999405044172771,1,12,"potassium channel activity","MF","voltage-gated potassium channel activity"
"18","GO:0000175",0.0456164831317337,0.999045284191848,1,15,"3'-5'-RNA exonuclease activity","MF","hydroxymethylglutaryl-CoA hydrolase activity"
"19","GO:0016896",0.0479555967395266,0.998939284943408,1,16,"RNA exonuclease activity, producing 5'-phosphomonoesters","MF","hydroxymethylglutaryl-CoA hydrolase activity"
"20","GO:0022843",0.0498115835573034,0.998846444898122,1,18,"voltage-gated monoatomic cation channel activity","MF","voltage-gated potassium channel activity"
