"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"899","K04911",0.00256001540298629,1,1,1,1
"651","K03241",0.00264462308559483,1,1,1,1
"3425","K20027",0.00277996118673866,1,1,1,1
"3616","K21644",0.00283707093998193,1,1,1,1
"2220","K12870",0.00285079079670029,1,1,1,1
"430","K02377",0.00328244397522634,1,1,1,1
"793","K04399",0.00370668959904403,1,1,1,1
"3297","K19177",0.00389998508350269,1,1,1,1
"3635","K21878",0.00405242840089524,1,1,1,1
"714","K03678",0.00535051023219804,0.999993063156668,1,2,1
"3125","K17879",0.00540626962636748,1,1,1,1
"924","K05122",0.0076628780950582,0.999981014425687,1,3,1
"3448","K20103",0.0127009733973065,0.999937302134173,1,5,1
"389","K02183",0.0487268562862856,0.998921158415305,1,13,1
"72","K00485",0.999999999999998,0.996684850190697,0,1,1
"212","K01201",0.999999999999998,0.997380962623204,0,1,1
"528","K02938",0.999999999999998,0.996215696160995,0,1,1
"4","K00010",0.999999999999998,0.995432943518704,0,1,1
"62","K00417",0.999999999999998,0.996114423500696,0,1,1
"373","K02138",0.999999999999998,0.996196639003047,0,1,1
"482","K02875",0.999999999999998,0.99634945312824,0,1,1
"653","K03243",0.999999999999998,0.997425291507048,0,1,1
"1093","K06546",0.999999999999998,0.99634945312824,0,1,1
"1563","K09659",0.999999999999998,0.994643878975734,0,1,1
"2152","K12626",0.999999999999998,0.994643878975734,0,1,1
"2894","K16608",0.999999999999998,0.997428947558895,0,1,1
"3023","K17424",0.999999999999998,0.994643878975734,0,1,1
"3506","K20306",0.999999999999998,0.997432165119499,0,1,1
"3880","K23868",0.999999999999998,0.994643878975734,0,1,1
"3884","K23883",0.999999999999998,0.99753554204565,0,1,1
"4042","K24761",0.999999999999998,0.996983319155805,0,1,1
"4146","K25470",0.999999999999998,0.996196639003047,0,1,1
"718","K03687",0.999999999999998,0.995188814470083,0,1,1
"1099","K06624",0.999999999999998,0.99436849488069,0,1,1
"2612","K14842",0.999999999999998,0.996645315897512,0,1,1
"2622","K14857",0.999999999999998,0.997384357651136,0,1,1
"3296","K19036",0.999999999999998,0.997290679237145,0,1,1
"317","K01785",0.999999999999998,0.996207500177367,0,1,1
"360","K02084",0.999999999999998,0.997430666491834,0,1,1
"361","K02085",0.999999999999998,0.997437031650864,0,1,1
"1292","K08471",0.999999999999998,0.995849285619596,0,1,1
"1365","K08825",0.999999999999998,0.997362700830592,0,1,1
"1688","K10587",0.999999999999998,0.997119927017732,0,1,1
