"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"5229","GO:0017188",0.00149116584686518,1,1,1,"aspartate N-acetyltransferase activity","MF",1
"11660","GO:0051584",0.00149116584686518,1,1,1,"regulation of dopamine uptake involved in synaptic transmission","BP",1
"11661","GO:0051586",0.00149116584686518,1,1,1,"positive regulation of dopamine uptake involved in synaptic transmission","BP",1
"11814","GO:0051940",0.00149116584686518,1,1,1,"regulation of catecholamine uptake involved in synaptic transmission","BP",1
"11816","GO:0051944",0.00149116584686518,1,1,1,"positive regulation of catecholamine uptake involved in synaptic transmission","BP",1
"8835","GO:0042356",0.00178626903968018,1,1,1,"GDP-4-dehydro-D-rhamnose reductase activity","MF",1
"10654","GO:0047918",0.00178626903968018,1,1,1,"GDP-mannose 3,5-epimerase activity","MF",1
"11147","GO:0050577",0.00178626903968018,1,1,1,"GDP-L-fucose synthase activity","MF",1
"2436","GO:0006408",0.00219483611924114,1,1,1,"snRNA export from nucleus","BP",1
"8831","GO:0042350",0.00317559073881979,0.999997615232786,1,2,"GDP-L-fucose biosynthetic process","BP",1
"8832","GO:0042351",0.00317559073881979,0.999997615232786,1,2,"'de novo' GDP-L-fucose biosynthetic process","BP",1
"7871","GO:0034930",0.0042491299229441,0.9999957278772,1,2,"1-hydroxypyrene sulfotransferase activity","MF",1
"11372","GO:0051030",0.00453420215142904,0.999995134684304,1,2,"snRNA transport","BP",1
"10342","GO:0046368",0.00513605922265736,0.999991676319829,1,3,"GDP-L-fucose metabolic process","BP",1
"11658","GO:0051582",0.00616875802264352,0.999986487495912,1,4,"positive regulation of neurotransmitter uptake","BP",1
"6883","GO:0032226",0.00621112152306762,0.999986301009962,1,4,"positive regulation of synaptic transmission, dopaminergic","BP",1
"5537","GO:0019835",0.00622108633680217,0.99999083294228,1,2,"cytolysis","BP",1
"13333","GO:0071020",0.0069272071949338,0.999982954792856,1,4,"post-spliceosomal complex","CC",1
"5092","GO:0016857",0.00724225575947256,0.999981366513204,1,4,"racemase and epimerase activity, acting on carbohydrates and derivatives","MF",1
"5495","GO:0019673",0.00744997927830108,0.999980280475771,1,4,"GDP-mannose metabolic process","BP",1
"4577","GO:0015643",0.00814152923652163,0.999974875501226,1,5,"toxic substance binding","MF",1
"154","GO:0000350",0.00837380917661584,0.999973418811331,1,5,"generation of catalytic spliceosome for second transesterification step","BP",1
"6882","GO:0032225",0.0091252496488555,0.999967111918414,1,6,"regulation of synaptic transmission, dopaminergic","BP",1
"165","GO:0000393",0.00973648554490348,0.999962549020665,1,6,"spliceosomal conformational changes to generate catalytic conformation","BP",1
"5091","GO:0016854",0.00977431519711861,0.999963762399067,1,5,"racemase and epimerase activity","MF",1
"11657","GO:0051580",0.0100844329231387,0.999958674152682,1,7,"regulation of neurotransmitter uptake","BP",1
"11156","GO:0050657",0.0103540354299191,0.999534288920628,2,94,"nucleic acid transport","BP",1
"11157","GO:0050658",0.0103540354299191,0.999534288920628,2,94,"RNA transport","BP",1
"14447","GO:0097064",0.0105035627544057,0.999956401681683,1,6,"ncRNA export from nucleus","BP",1
"11493","GO:0051236",0.0107506994260167,0.999506632536613,2,97,"establishment of RNA localization","BP",1
"4680","GO:0015931",0.0116589024212492,0.999441468315915,2,101,"nucleobase-containing compound transport","BP",1
"1415","GO:0004062",0.0133133969739106,0.999927878435212,1,7,"aryl sulfotransferase activity","MF",1
"11804","GO:0051923",0.0140789391983711,0.999917647189708,1,8,"sulfation","BP",1
"163","GO:0000389",0.0162896668106706,0.999886520119644,1,10,"mRNA 3'-splice site recognition","BP",1
"2896","GO:0007159",0.0191414314038857,0.999841559351604,1,11,"leukocyte cell-cell adhesion","BP",1
"7389","GO:0033227",0.0193092289818798,0.999836293858476,1,13,"dsRNA transport","BP",1
"3712","GO:0009226",0.020437257875795,0.999817794150439,1,12,"nucleotide-sugar biosynthetic process","BP",1
"2431","GO:0006403",0.0215612750556754,0.998566513469294,2,136,"RNA localization","BP",1
"13330","GO:0071012",0.02349859784843,0.999757160810419,1,13,"catalytic step 1 spliceosome","CC",1
"13332","GO:0071014",0.0253172547902628,0.999716254843978,1,14,"post-mRNA release spliceosomal complex","CC",1
"3295","GO:0008146",0.027151099052537,0.999671770724599,1,15,"sulfotransferase activity","MF",1
"2414","GO:0006376",0.0323139104110063,0.999527227162439,1,19,"mRNA splice site selection","BP",1
"11820","GO:0051954",0.0327978912679104,0.999516018699638,1,17,"positive regulation of amine transport","BP",1
"3711","GO:0009225",0.03361395399794,0.999488168925806,1,19,"nucleotide-sugar metabolic process","BP",1
"17639","GO:2001025",0.0340636120261974,0.999474294049992,1,19,"positive regulation of response to drug","BP",1
"11664","GO:0051590",0.0362994344200484,0.999400871965837,1,20,"positive regulation of neurotransmitter transport","BP",1
"3261","GO:0008080",0.0364919756517712,0.999388160715993,1,25,"N-acetyltransferase activity","MF",1
"319","GO:0000974",0.0405992406083519,0.99924576151139,1,22,"Prp19 complex","CC",1
"4873","GO:0016410",0.0410487521019269,0.99922107862822,1,28,"N-acyltransferase activity","MF",1
"4870","GO:0016407",0.0462497491348933,0.99900474400708,1,32,"acetyltransferase activity","MF",1
"5052","GO:0016782",0.0529823258251641,0.998696511103601,1,28,"transferase activity, transferring sulphur-containing groups","MF",1
"6294","GO:0030867",0.0555800193518202,0.998572841131098,1,24,"rough endoplasmic reticulum membrane","CC",1
"3741","GO:0009301",0.0559872049138914,0.998534790239114,1,33,"snRNA transcription","BP",1
"9052","GO:0042795",0.0559872049138914,0.998534790239114,1,33,"snRNA transcription by RNA polymerase II","BP",1
"3545","GO:0008652",0.0593134446883937,0.99834925580654,1,36,"amino acid biosynthetic process","BP",1
"11818","GO:0051952",0.062053224113791,0.998192808405527,1,35,"regulation of amine transport","BP",1
"4741","GO:0016073",0.0696942187163956,0.997702803079083,1,42,"snRNA metabolic process","BP",1
"106","GO:0000245",0.0704247802879885,0.997655102936619,1,41,"spliceosomal complex assembly","BP",1
"14812","GO:0098781",0.0717434854071921,0.997561203484836,1,44,"ncRNA transcription","BP",1
"4977","GO:0016616",0.0720851307368784,0.997543182975692,1,40,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",1
"11662","GO:0051588",0.0728180133655867,0.997481835748164,1,48,"regulation of neurotransmitter transport","BP",1
"17637","GO:2001023",0.0778362607103643,0.997119917532181,1,46,"regulation of response to drug","BP",1
"4975","GO:0016614",0.0785505067367563,0.997070444147534,1,43,"oxidoreductase activity, acting on CH-OH group of donors","MF",1
"3583","GO:0009055",0.0799575521279968,0.996968195074221,1,40,"electron transfer activity","MF",1
"11241","GO:0050806",0.0878522780896964,0.996301675306227,1,57,"positive regulation of synaptic transmission","BP",1
"2357","GO:0006283",0.08872780885695,0.996238568388175,1,48,"transcription-coupled nucleotide-excision repair","BP",1
"5034","GO:0016747",0.0936233660733015,0.995783642498781,1,63,"acyltransferase activity, transferring groups other than amino-acyl groups","MF",1
"5033","GO:0016746",0.104435426946064,0.994722551404747,1,71,"acyltransferase activity","MF",1
"2363","GO:0006289",0.110757974940719,0.994060096751901,1,63,"nucleotide-excision repair","BP",1
"2433","GO:0006405",0.11210184907363,0.993902494733544,1,70,"RNA export from nucleus","BP",1
"2090","GO:0005791",0.112909066907443,0.993835889311954,1,55,"rough endoplasmic reticulum","CC",1
"14759","GO:0098609",0.117182432957179,0.993315733857123,1,77,"cell-cell adhesion","BP",1
"11449","GO:0051168",0.130848538359582,0.99161366946499,1,83,"nuclear export","BP",1
"13331","GO:0071013",0.131284502599058,0.991568171872763,1,74,"catalytic step 2 spliceosome","CC",1
