"","KEGGterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","bh_adjust"
"2220","K12870",0.00165811423158911,1,1,1,1
"430","K02377",0.00178626903968018,1,1,1,1
"2435","K14291",0.00219483611924114,1,1,1,1
"205","K01179",0.00459885609825403,0.999994994772982,1,2,1
"3448","K20103",0.00571544266208365,0.999987630900216,1,5,1
"178","K01025",0.0114831866195909,0.999947868847718,1,6,1
"904","K04958",0.999999999999998,0.999007234526942,0,1,1
"717","K03685",0.999999999999998,0.998845637210653,0,1,1
"1791","K10951",0.999999999999998,0.996792175607546,0,2,1
"2841","K16462",0.999999999999998,0.998898721395082,0,1,1
"683","K03424",0.999999999999999,0.998272545403545,0,1,1
"809","K04441",0.999999999999999,0.998596163946355,0,1,1
"824","K04499",0.999999999999999,0.998373380291312,0,1,1
"1342","K08775",0.999999999999999,0.998783767333278,0,1,1
"1518","K09529",0.999999999999999,0.99729936816953,0,1,1
"1543","K09582",0.999999999999999,0.998303532428434,0,1,1
"1580","K10106",0.999999999999999,0.998262478134364,0,1,1
"2313","K13182",0.999999999999999,0.997248422148334,0,1,1
"2919","K16750",0.999999999999999,0.99729936816953,0,1,1
"3004","K17346",0.999999999999999,0.9955035977377,0,1,1
"3208","K18402",0.999999999999999,0.998805021122492,0,1,1
"3484","K20222",0.999999999999999,0.998717463375952,0,1,1
"103","K00665",0.999999999999999,0.998664917214143,0,1,1
"611","K03106",0.999999999999999,0.998449132959216,0,1,1
"631","K03155",0.999999999999999,0.9988550859677,0,1,1
"1503","K09504",0.999999999999999,0.998444039780813,0,1,1
"2114","K12492",0.999999999999999,0.998466042645989,0,1,1
"2329","K13219",0.999999999999999,0.998244973132244,0,1,1
"2547","K14703",0.999999999999999,0.998395138053825,0,1,1
"2608","K14837",0.999999999999999,0.99875963710941,0,1,1
"2825","K16311",0.999999999999999,0.998584567795102,0,1,1
"3361","K19636",0.999999999999999,0.998941772993755,0,1,1
"3489","K20241",0.999999999999999,0.998636811019877,0,1,1
"3858","K23733",0.999999999999999,0.998476633242237,0,1,1
"4004","K24631",0.999999999999999,0.998395138053825,0,1,1
"4109","K25166",0.999999999999999,0.998476633242237,0,1,1
"844","K04556",0.999999999999999,0.99867277395045,0,1,1
"1182","K07424",0.999999999999999,0.988623460150546,0,4,1
"1347","K08794",0.999999999999999,0.998628758075659,0,1,1
"1613","K10349",0.999999999999999,0.991097211535862,0,4,1
"1918","K11540",0.999999999999999,0.998887056933144,0,1,1
"2145","K12618",0.999999999999999,0.999020276184612,0,1,1
"2496","K14537",0.999999999999999,0.998768939159154,0,1,1
"3045","K17525",0.999999999999999,0.998628758075659,0,1,1
"3528","K20407",0.999999999999999,0.998807831699018,0,1,1
"3939","K24135",0.999999999999999,0.997409041796356,0,2,1
"9","K00029",0.999999999999999,0.998310712618452,0,1,1
"42","K00280",0.999999999999999,0.995384581018962,0,3,1
"67","K00451",0.999999999999999,0.998577559101965,0,1,1
"226","K01265",0.999999999999999,0.993165399864085,0,4,1
"278","K01522",0.999999999999999,0.995071016783259,0,1,1
"383","K02154",0.999999999999999,0.998691272173629,0,1,1
"439","K02520",0.999999999999999,0.99502771095102,0,1,1
"564","K02988",0.999999999999999,0.998336472487465,0,1,1
"598","K03063",0.999999999999999,0.998241255403199,0,1,1
"610","K03105",0.999999999999999,0.996929342388423,0,1,1
