"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","ParentTerm"
"1","GO:0051584",0.00149116584686518,1,1,1,"regulation of dopamine uptake involved in synaptic transmission","BP",1,"regulation of catecholamine uptake involved in synaptic transmission"
"2","GO:0051940",0.00149116584686518,1,1,1,"regulation of catecholamine uptake involved in synaptic transmission","BP",1,"regulation of catecholamine uptake involved in synaptic transmission"
"3","GO:0006408",0.00219483611924114,1,1,1,"snRNA export from nucleus","BP",1,"snRNA export from nucleus"
"4","GO:0042350",0.00317559073881979,0.999997615232786,1,2,"GDP-L-fucose biosynthetic process","BP",1,"'de novo' GDP-L-fucose biosynthetic process"
"5","GO:0042351",0.00317559073881979,0.999997615232786,1,2,"'de novo' GDP-L-fucose biosynthetic process","BP",1,"'de novo' GDP-L-fucose biosynthetic process"
"6","GO:0051030",0.00453420215142904,0.999995134684304,1,2,"snRNA transport","BP",1,"snRNA export from nucleus"
"7","GO:0046368",0.00513605922265736,0.999991676319829,1,3,"GDP-L-fucose metabolic process","BP",1,"'de novo' GDP-L-fucose biosynthetic process"
"8","GO:0032226",0.00621112152306762,0.999986301009962,1,4,"positive regulation of synaptic transmission, dopaminergic","BP",1,"positive regulation of synaptic transmission, dopaminergic"
"9","GO:0019835",0.00622108633680217,0.99999083294228,1,2,"cytolysis","BP",1,"cytolysis"
"10","GO:0019673",0.00744997927830108,0.999980280475771,1,4,"GDP-mannose metabolic process","BP",1,"'de novo' GDP-L-fucose biosynthetic process"
"11","GO:0000350",0.00837380917661584,0.999973418811331,1,5,"generation of catalytic spliceosome for second transesterification step","BP",1,"generation of catalytic spliceosome for second transesterification step"
"12","GO:0032225",0.0091252496488555,0.999967111918414,1,6,"regulation of synaptic transmission, dopaminergic","BP",1,"positive regulation of synaptic transmission, dopaminergic"
"13","GO:0000393",0.00973648554490348,0.999962549020665,1,6,"spliceosomal conformational changes to generate catalytic conformation","BP",1,"generation of catalytic spliceosome for second transesterification step"
"14","GO:0051580",0.0100844329231387,0.999958674152682,1,7,"regulation of neurotransmitter uptake","BP",1,"regulation of catecholamine uptake involved in synaptic transmission"
"15","GO:0050657",0.0103540354299191,0.999534288920628,2,94,"nucleic acid transport","BP",1,"snRNA export from nucleus"
"16","GO:0050658",0.0103540354299191,0.999534288920628,2,94,"RNA transport","BP",1,"snRNA export from nucleus"
"17","GO:0097064",0.0105035627544057,0.999956401681683,1,6,"ncRNA export from nucleus","BP",1,"ncRNA export from nucleus"
"18","GO:0051236",0.0107506994260167,0.999506632536613,2,97,"establishment of RNA localization","BP",1,"ncRNA export from nucleus"
"19","GO:0015931",0.0116589024212492,0.999441468315915,2,101,"nucleobase-containing compound transport","BP",1,"snRNA export from nucleus"
"20","GO:0051923",0.0140789391983711,0.999917647189708,1,8,"sulfation","BP",1,"sulfation"
"21","GO:0000389",0.0162896668106706,0.999886520119644,1,10,"mRNA 3'-splice site recognition","BP",1,"generation of catalytic spliceosome for second transesterification step"
"22","GO:0033227",0.0193092289818798,0.999836293858476,1,13,"dsRNA transport","BP",1,"ncRNA export from nucleus"
"23","GO:0009226",0.020437257875795,0.999817794150439,1,12,"nucleotide-sugar biosynthetic process","BP",1,"'de novo' GDP-L-fucose biosynthetic process"
"24","GO:0006403",0.0215612750556754,0.998566513469294,2,136,"RNA localization","BP",1,"ncRNA export from nucleus"
"25","GO:0006376",0.0323139104110063,0.999527227162439,1,19,"mRNA splice site selection","BP",1,"generation of catalytic spliceosome for second transesterification step"
"26","GO:0051954",0.0327978912679104,0.999516018699638,1,17,"positive regulation of amine transport","BP",1,"regulation of catecholamine uptake involved in synaptic transmission"
"27","GO:0009225",0.03361395399794,0.999488168925806,1,19,"nucleotide-sugar metabolic process","BP",1,"'de novo' GDP-L-fucose biosynthetic process"
"28","GO:0051590",0.0362994344200484,0.999400871965837,1,20,"positive regulation of neurotransmitter transport","BP",1,"regulation of catecholamine uptake involved in synaptic transmission"
