"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"195","GO:0001558",0,1,11,11,"regulation of cell growth","BP",0
"247","GO:0001822",0,1,11,11,"kidney development","BP",0
"577","GO:0004175",0,1,11,11,"endopeptidase activity","MF",0
"1204","GO:0007283",0,1,11,11,"spermatogenesis","BP",0
"1251","GO:0007424",0,1,11,11,"open tracheal system development","BP",0
"1367","GO:0008150",0,1,299,299,"biological_process","BP",0
"1398","GO:0008270",0,1,11,11,"zinc ion binding","MF",0
"1405","GO:0008289",0,1,11,11,"lipid binding","MF",0
"1445","GO:0008544",0,1,11,11,"epidermis development","BP",0
"1501","GO:0009141",0,1,11,11,"nucleoside triphosphate metabolic process","BP",0
"1823","GO:0010976",0,1,11,11,"positive regulation of neuron projection development","BP",0
"1975","GO:0016072",0,1,11,11,"rRNA metabolic process","BP",0
"2070","GO:0016607",0,1,11,11,"nuclear speck","CC",0
"2123","GO:0016829",0,1,11,11,"lyase activity","MF",0
"2723","GO:0031346",0,1,11,11,"positive regulation of cell projection organization","BP",0
"3029","GO:0033044",0,1,11,11,"regulation of chromosome organization","BP",0
"3134","GO:0034284",0,1,11,11,"response to monosaccharide","BP",0
"3164","GO:0034470",0,1,11,11,"ncRNA processing","BP",0
"3720","GO:0043269",0,1,11,11,"regulation of ion transport","BP",0
"3989","GO:0045177",0,1,11,11,"apical part of cell","CC",0
"3998","GO:0045202",0,1,11,11,"synapse","CC",0
"4363","GO:0048232",0,1,11,11,"male gamete generation","BP",0
"4584","GO:0050804",0,1,11,11,"modulation of chemical synaptic transmission","BP",0
"4656","GO:0051047",0,1,11,11,"positive regulation of secretion","BP",0
"4987","GO:0060271",0,1,11,11,"cilium assembly","BP",0
"5440","GO:0071383",0,1,11,11,"cellular response to steroid hormone stimulus","BP",0
"5452","GO:0071417",0,1,11,11,"cellular response to organonitrogen compound","BP",0
"5477","GO:0071496",0,1,11,11,"cellular response to external stimulus","BP",0
"5846","GO:0098542",0,1,11,11,"defense response to other organism","BP",0
"5884","GO:0098791",0,1,11,11,"Golgi apparatus subcompartment","CC",0
"5927","GO:0099177",0,1,11,11,"regulation of trans-synaptic signaling","BP",0
"6102","GO:1901681",0,1,11,11,"sulfur compound binding","MF",0
"6205","GO:1902903",0,1,11,11,"regulation of supramolecular fiber organization","BP",0
"6292","GO:1903532",0,1,11,11,"positive regulation of secretion by cell","BP",0
"707","GO:0005575",1.37350249543867e-321,1,290,290,"cellular_component","CC",2.61948664768571e-319
"712","GO:0005623",1.67187121729564e-308,1,279,279,NA,NA,3.01614604741849e-306
"3926","GO:0044464",1.67187121729564e-308,1,279,279,NA,NA,3.01614604741849e-306
"711","GO:0005622",3.64000649768229e-299,1,271,271,"intracellular anatomical structure","CC",6.23001112103315e-297
"3897","GO:0044424",3.64000649768229e-299,1,271,271,NA,NA,6.23001112103315e-297
"1640","GO:0009987",5.10791273283837e-299,1,271,271,"cellular process","BP",8.52382937292402e-297
"525","GO:0003674",1.11435082005192e-290,1,264,264,"molecular_function","MF",1.81421749362111e-288
"3704","GO:0043226",1.5940849779059e-272,1,249,249,"organelle","CC",2.5334564827433e-270
"3707","GO:0043229",1.56971214773007e-265,1,243,243,"intracellular organelle","CC",2.43670432234843e-263
"736","GO:0005737",1.03228684624478e-253,1,232,232,"cytoplasm","CC",1.56602606788271e-251
"5219","GO:0065007",1.44901101197172e-244,1,224,224,"biological regulation","BP",2.14936633442471e-242
"3705","GO:0043227",4.05169551526879e-239,1,220,220,"membrane-bounded organelle","CC",5.87936251400417e-237
"3911","GO:0044444",3.13281760658375e-226,1,208,208,NA,NA,4.4492675582865e-224
"3709","GO:0043231",2.81801423081212e-225,1,208,208,"intracellular membrane-bounded organelle","CC",3.9188010397231e-223
"4575","GO:0050789",6.05407609701967e-224,1,206,206,"regulation of biological process","BP",8.24713427502169e-222
"3896","GO:0044422",6.39872006378277e-222,1,205,205,NA,NA,8.54229128515e-220
