"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"2","GO:0000003",0,1,20,20,"reproduction","BP",0
"17","GO:0000122",0,1,12,12,"negative regulation of transcription by RNA polymerase II","BP",0
"26","GO:0000166",0,1,10,10,"nucleotide binding","MF",0
"35","GO:0000278",0,1,12,12,"mitotic cell cycle","BP",0
"45","GO:0000323",0,1,13,13,"lytic vacuole","CC",0
"100","GO:0000902",0,1,16,16,"cell morphogenesis","BP",0
"101","GO:0000904",0,1,15,15,"cell morphogenesis involved in differentiation","BP",0
"112","GO:0000981",0,1,10,10,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",0
"186","GO:0001775",0,1,13,13,"cell activation","BP",0
"207","GO:0001932",0,1,9,9,"regulation of protein phosphorylation","BP",0
"224","GO:0002009",0,1,11,11,"morphogenesis of an epithelium","BP",0
"259","GO:0002252",0,1,9,9,"immune effector process","BP",0
"262","GO:0002263",0,1,9,9,"cell activation involved in immune response","BP",0
"263","GO:0002274",0,1,9,9,"myeloid leukocyte activation","BP",0
"264","GO:0002275",0,1,9,9,"myeloid cell activation involved in immune response","BP",0
"265","GO:0002283",0,1,9,9,"neutrophil activation involved in immune response","BP",0
"266","GO:0002366",0,1,9,9,"leukocyte activation involved in immune response","BP",0
"274","GO:0002443",0,1,9,9,"leukocyte mediated immunity","BP",0
"275","GO:0002444",0,1,9,9,"myeloid leukocyte mediated immunity","BP",0
"276","GO:0002446",0,1,9,9,"neutrophil mediated immunity","BP",0
"284","GO:0002520",0,1,11,11,"immune system development","BP",0
"294","GO:0002682",0,1,9,9,"regulation of immune system process","BP",0
"335","GO:0003002",0,1,11,11,"regionalization","BP",0
"336","GO:0003006",0,1,10,10,"developmental process involved in reproduction","BP",0
"338","GO:0003008",0,1,15,15,"system process","BP",0
"388","GO:0003677",0,1,15,15,"DNA binding","MF",0
"390","GO:0003682",0,1,9,9,"chromatin binding","MF",0
"395","GO:0003700",0,1,10,10,"DNA-binding transcription factor activity","MF",0
"400","GO:0003723",0,1,14,14,"RNA binding","MF",0
"455","GO:0004672",0,1,9,9,"protein kinase activity","MF",0
"478","GO:0005102",0,1,17,17,"signaling receptor binding","MF",0
"484","GO:0005215",0,1,11,11,"transporter activity","MF",0
"507","GO:0005615",0,1,16,16,"extracellular space","CC",0
"528","GO:0005730",0,1,14,14,"nucleolus","CC",0
"531","GO:0005740",0,1,13,13,"mitochondrial envelope","CC",0
"541","GO:0005764",0,1,13,13,"lysosome","CC",0
"546","GO:0005773",0,1,14,14,"vacuole","CC",0
"556","GO:0005794",0,1,16,16,"Golgi apparatus","CC",0
"570","GO:0005856",0,1,17,17,"cytoskeleton","CC",0
"580","GO:0005911",0,1,9,9,"cell-cell junction","CC",0
"585","GO:0005929",0,1,13,13,"cilium","CC",0
"610","GO:0006082",0,1,15,15,"organic acid metabolic process","BP",0
"630","GO:0006259",0,1,16,16,"DNA metabolic process","BP",0
"653","GO:0006325",0,1,11,11,"chromatin organization","BP",0
"670","GO:0006396",0,1,11,11,"RNA processing","BP",0
"687","GO:0006468",0,1,12,12,"protein phosphorylation","BP",0
"695","GO:0006508",0,1,17,17,"proteolysis","BP",0
"717","GO:0006629",0,1,15,15,"lipid metabolic process","BP",0
"764","GO:0006811",0,1,12,12,"ion transport","BP",0
"765","GO:0006812",0,1,9,9,"cation transport","BP",0
"785","GO:0006887",0,1,12,12,"exocytosis","BP",0
