Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
RF13B_S85_L001_R1_001	RF13B_S85_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4084655.0	0.0	101.0	42.0	65.15130371972873	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF13B_S85_L002_R1_001	RF13B_S85_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4093741.0	0.0	101.0	42.0	64.68179858886157	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF13D_S112_L001_R1_001	RF13D_S112_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4550578.0	0.0	101.0	42.0	58.61801142118054	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF13D_S112_L002_R1_001	RF13D_S112_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4553801.0	0.0	101.0	42.0	58.24209073664359	101.0	pass	pass	pass	pass	fail	fail	pass	pass	warn	warn	pass
RF14B_S116_L001_R1_001	RF14B_S116_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4293696.0	0.0	101.0	44.0	64.1377794355524	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RF14B_S116_L002_R1_001	RF14B_S116_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4294182.0	0.0	101.0	44.0	64.01584025003876	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RF14C_S95_L001_R1_001	RF14C_S95_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4619727.0	0.0	101.0	45.0	58.962792807179	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF14C_S95_L002_R1_001	RF14C_S95_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4617871.0	0.0	101.0	45.0	58.46199663310685	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF15B_S122_L001_R1_001	RF15B_S122_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4194895.0	0.0	101.0	44.0	63.04737591613383	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF15B_S122_L002_R1_001	RF15B_S122_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4202147.0	0.0	101.0	44.0	62.511892975046216	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	warn	pass
RF15D_S84_L001_R1_001	RF15D_S84_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4139944.0	0.0	101.0	43.0	64.32761244421069	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RF15D_S84_L002_R1_001	RF15D_S84_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4140161.0	0.0	101.0	43.0	63.74196910638531	101.0	pass	pass	pass	pass	fail	warn	pass	pass	warn	pass	pass
RF16A_S118_L001_R1_001	RF16A_S118_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3678611.0	0.0	101.0	45.0	27.467905392709817	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
RF16A_S118_L002_R1_001	RF16A_S118_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3689898.0	0.0	101.0	45.0	27.301285650305196	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
RF16C_S97_L001_R1_001	RF16C_S97_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3464967.0	0.0	101.0	46.0	37.413527565721836	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	pass	pass
