"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0309672859306924 2 18 "GO:0000002" "mitochondrial genome maintenance" 0.959638554216868
0 1 4 5 "GO:0000012" "single strand break repair" 1
0 0.798795489131867 4 28 "GO:0000018" "regulation of DNA recombination" 1
0 0.194958811034747 2 8 "GO:0000022" "mitotic spindle elongation" 1
0 0.897915502610665 3 21 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.533774275757666 2 17 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.532028461486587 4 7 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.968055565224163 3 49 "GO:0000041" "transition metal ion transport" 1
0 0.508669985910171 2 26 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.728158492361812 4 12 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 1
0 0.532028461486587 5 7 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 0.824051887065075 -1 16 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.738632534465829 4 113 "GO:0000070;GO:0000819;GO:0140014" "mitotic nuclear division" 1
0 0.927371566064281 5 93 "GO:0000075;GO:0007093" "cell cycle checkpoint signaling" 1
0 0.623389316144124 7 9 "GO:0000076;GO:0033314" "DNA replication checkpoint signaling" 1
0 0.930100507559411 2 81 "GO:0000077;GO:0031570;GO:0042770" "signal transduction in response to DNA damage" 1
0 0.957334631769542 2 29 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 0.739493167833729 5 59 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 0.580181268693993 -1 8 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 0.518023431794447 4 46 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.0385937811372776 2 19 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.623389316144124 2 9 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 1
0 0.119566586994542 3 6 "GO:0000098" "sulfur amino acid catabolic process" 1
0 0.647397827497223 2 317 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 0.96925308532197 2 32 "GO:0000132" "establishment of mitotic spindle orientation" 1
0 0.194424227675067 2 15 "GO:0000154" "rRNA modification" 1
0 0.117476108702543 2 122 "GO:0000165" "MAPK cascade" 1
0 0.99605465370082 3 71 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 -1 7 "GO:0000185" "obsolete activation of MAPKKK activity" 1
0 0.651198070350904 -1 21 "GO:0000186" "obsolete activation of MAPKK activity" 1
0 0.907754065537219 -1 51 "GO:0000187" "obsolete activation of MAPK activity" 1
0 1 -1 5 "GO:0000188" "obsolete inactivation of MAPK activity" 1
0 0.0212668802871236 9 106 "GO:0000209" "protein polyubiquitination" 0.939655172413793
0 0.798795489131867 2 28 "GO:0000212" "meiotic spindle organization" 1
0 0.837359526269048 2 286 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 4 8 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 0.62000602529208 2 41 "GO:0000245" "spliceosomal complex assembly" 1
0 1 2 12 "GO:0000266" "mitochondrial fission" 1
0 0.121256781049117 3 26 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 1
0 0.392109408209546 4 13 "GO:0000272;GO:0005980;GO:0009251;GO:0044247" "polysaccharide catabolic process" 1
0 0.935130401507964 3 411 "GO:0000278;GO:1903047" "mitotic cell cycle" 1
0 0.757938702474355 2 189 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.673160826483925 2 107 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 1
0 0.897546699480182 4 36 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
0 0.803829013095853 3 15 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.47836643589259 5 6 "GO:0000290;GO:0110156;GO:0110154" "RNA decapping" 1
