"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"1","GO:0001558",0,1,11,11,"regulation of cell growth","BP",0
"2","GO:0001822",0,1,11,11,"kidney development","BP",0
"3","GO:0007283",0,1,11,11,"spermatogenesis","BP",0
"4","GO:0007424",0,1,11,11,"open tracheal system development","BP",0
"5","GO:0008150",0,1,299,299,"biological_process","BP",0
"6","GO:0008544",0,1,11,11,"epidermis development","BP",0
"7","GO:0009141",0,1,11,11,"nucleoside triphosphate metabolic process","BP",0
"8","GO:0010976",0,1,11,11,"positive regulation of neuron projection development","BP",0
"9","GO:0016072",0,1,11,11,"rRNA metabolic process","BP",0
"10","GO:0031346",0,1,11,11,"positive regulation of cell projection organization","BP",0
"11","GO:0033044",0,1,11,11,"regulation of chromosome organization","BP",0
"12","GO:0034284",0,1,11,11,"response to monosaccharide","BP",0
"13","GO:0034470",0,1,11,11,"ncRNA processing","BP",0
"14","GO:0043269",0,1,11,11,"regulation of ion transport","BP",0
"15","GO:0048232",0,1,11,11,"male gamete generation","BP",0
"16","GO:0050804",0,1,11,11,"modulation of chemical synaptic transmission","BP",0
"17","GO:0051047",0,1,11,11,"positive regulation of secretion","BP",0
"18","GO:0060271",0,1,11,11,"cilium assembly","BP",0
"19","GO:0071383",0,1,11,11,"cellular response to steroid hormone stimulus","BP",0
"20","GO:0071417",0,1,11,11,"cellular response to organonitrogen compound","BP",0
"21","GO:0071496",0,1,11,11,"cellular response to external stimulus","BP",0
"22","GO:0098542",0,1,11,11,"defense response to other organism","BP",0
"23","GO:0099177",0,1,11,11,"regulation of trans-synaptic signaling","BP",0
"24","GO:1902903",0,1,11,11,"regulation of supramolecular fiber organization","BP",0
"25","GO:1903532",0,1,11,11,"positive regulation of secretion by cell","BP",0
"26","GO:0009987",5.10791273283837e-299,1,271,271,"cellular process","BP",8.52382937292402e-297
"27","GO:0065007",1.44901101197172e-244,1,224,224,"biological regulation","BP",2.14936633442471e-242
"28","GO:0050789",6.05407609701967e-224,1,206,206,"regulation of biological process","BP",8.24713427502169e-222
"29","GO:0008152",4.6757903787557e-220,1,203,203,"metabolic process","BP",6.11978446631261e-218
"30","GO:0071704",1.70302645179098e-210,1,194,194,"organic substance metabolic process","BP",2.14484935201977e-208
"31","GO:0044238",8.83395472426989e-205,1,189,189,"primary metabolic process","BP",1.09197495897225e-202
"32","GO:0050794",1.38909397850681e-201,1,186,186,"regulation of cellular process","BP",1.65575041188088e-199
"33","GO:0044237",1.35883976313281e-200,1,186,186,"cellular metabolic process","BP",1.59127288051079e-198
"34","GO:0006807",1.02076602392749e-196,1,182,182,"nitrogen compound metabolic process","BP",1.1747608982269e-194
"35","GO:0071840",5.67979754695351e-164,1,152,152,"cellular component organization or biogenesis","BP",6.42587264846012e-162
"36","GO:0043170",2.53089094159661e-163,1,153,153,"macromolecule metabolic process","BP",2.81561617252623e-161
"37","GO:0032501",6.09508907148631e-163,1,151,151,"multicellular organismal process","BP",6.66962615609363e-161
"38","GO:0050896",1.84858747644037e-158,1,148,148,"response to stimulus","BP",1.99021312987734e-156
"39","GO:0032502",5.65963690614044e-157,1,146,146,"developmental process","BP",5.99652005531546e-155
"40","GO:0016043",9.50167987066014e-154,1,143,143,"cellular component organization","BP",9.90995517760257e-152
"41","GO:0048856",3.6048086423466e-148,1,138,138,"anatomical structure development","BP",3.64577237691872e-146
"42","GO:0019222",1.1560710352423e-146,1,138,138,"regulation of metabolic process","BP",1.1517573373496e-144
"43","GO:0007275",6.71215401083147e-142,1,132,132,"multicellular organism development","BP",6.49327942352175e-140
"44","GO:1901564",1.15995658738007e-140,1,132,132,"organonitrogen compound metabolic process","BP",1.10610146010885e-138
"45","GO:0060255",3.66354593745897e-135,1,128,128,"regulation of macromolecule metabolic process","BP",3.26055588433848e-133
"46","GO:0044260",1.3894951588238e-129,1,123,123,"cellular macromolecule metabolic process","BP",1.22037897173011e-127
"47","GO:0048519",3.18394112629154e-125,1,118,118,"negative regulation of biological process","BP",2.6902287364552e-123
"48","GO:0034641",3.8261552907666e-125,1,118,118,"cellular nitrogen compound metabolic process","BP",3.19244832073338e-123
"49","GO:0048731",1.70802500343617e-124,1,116,116,"system development","BP",1.40753912320203e-122
"50","GO:0048518",1.17628531976528e-123,1,116,116,"positive regulation of biological process","BP",9.57524940174788e-122
"51","GO:0080090",2.59774176401565e-122,1,115,115,"regulation of primary metabolic process","BP",2.06427693747672e-120
"52","GO:0031323",3.59831446189097e-122,1,115,115,"regulation of cellular metabolic process","BP",2.82573518036732e-120
"53","GO:0051179",3.07967356390068e-121,1,114,114,"localization","BP",2.390328027795e-119
"54","GO:0051716",1.43961875506012e-114,1,107,107,"cellular response to stimulus","BP",1.09198354432117e-112
"55","GO:0051171",4.17114950399782e-114,1,108,108,"regulation of nitrogen compound metabolic process","BP",3.12836212799837e-112
"56","GO:1901360",1.1796015376309e-112,1,106,106,"organic cyclic compound metabolic process","BP",8.74871140409583e-111
"57","GO:0042221",2.19110111625597e-111,1,105,105,"response to chemical","BP",1.55591488840517e-109
"58","GO:0010468",6.5361020891978e-111,1,106,106,"regulation of gene expression","BP",4.59247173109425e-109
"59","GO:0048523",2.70811383627442e-106,1,100,100,"negative regulation of cellular process","BP",1.88298540178456e-104
"60","GO:0006725",1.04453253089244e-104,1,99,99,"cellular aromatic compound metabolic process","BP",7.1145455548031e-103
"61","GO:0046483",1.04453253089244e-104,1,99,99,"heterocycle metabolic process","BP",7.1145455548031e-103
"62","GO:0048522",2.78876747803039e-103,1,98,98,"positive regulation of cellular process","BP",1.88030534503564e-101
"63","GO:0048513",2.99392396148284e-103,1,96,96,"animal organ development","BP",1.99844424428979e-101
"64","GO:0019538",7.17849988340508e-103,1,98,98,"protein metabolic process","BP",4.74420660611177e-101
"65","GO:0065008",4.43197121475846e-101,1,95,95,"regulation of biological quality","BP",2.90033410377576e-99
"66","GO:0006950",5.21432835372024e-100,1,94,94,"response to stress","BP",3.37918852049346e-98
"67","GO:0006139",3.73891220569828e-99,1,94,94,"nucleobase-containing compound metabolic process","BP",2.39973451663808e-97
"68","GO:0006996",1.59981207853252e-98,1,93,93,"organelle organization","BP",1.01702339278138e-96
"69","GO:0051234",3.01599841117257e-97,1,92,92,"establishment of localization","BP",1.89922541458273e-95
"70","GO:0009889",5.97513308398699e-96,1,91,91,"regulation of biosynthetic process","BP",3.727477881833e-94
"71","GO:0048869",1.13931111919589e-95,1,90,90,"cellular developmental process","BP",7.04157566725238e-94
"72","GO:0044085",2.06674292633262e-95,1,90,90,"cellular component biogenesis","BP",1.26564303057525e-93
"73","GO:0006810",4.36538336887028e-94,1,89,89,"transport","BP",2.62512918803686e-92
"74","GO:0030154",1.16755740725045e-93,1,88,88,"cell differentiation","BP",6.9584336548185e-92
"75","GO:0031326",1.22288904727704e-93,1,89,89,"regulation of cellular biosynthetic process","BP",7.22370300050817e-92
"76","GO:0010556",2.64273118486024e-91,1,87,87,"regulation of macromolecule biosynthetic process","BP",1.53393310077758e-89
"77","GO:0044267",1.69668454404742e-88,1,85,85,"cellular protein metabolic process","BP",9.67980284745002e-87
"78","GO:0019219",3.30161852763893e-88,1,84,84,"regulation of nucleobase-containing compound metabolic process","BP",1.86765285355846e-86
"79","GO:0009058",1.35872752975739e-87,1,83,83,"biosynthetic process","BP",7.62143383288282e-86
"80","GO:1901576",1.84987594598425e-86,1,82,82,"organic substance biosynthetic process","BP",1.02899349495374e-84
"81","GO:2000112",7.96839094867877e-86,1,82,82,"regulation of cellular macromolecule biosynthetic process","BP",4.3597548838058e-84
"82","GO:0022607",3.21826181302697e-83,1,79,79,"cellular component assembly","BP",1.74649573999634e-81
"83","GO:0044249",4.6603625892718e-83,1,79,79,"cellular biosynthetic process","BP",2.50870324866043e-81
"84","GO:0090304",3.44233109418938e-80,1,77,77,"nucleic acid metabolic process","BP",1.83820480429713e-78
"85","GO:0048583",4.97191025765544e-80,1,75,75,"regulation of response to stimulus","BP",2.6339286484008e-78
"86","GO:0051252",1.59852362292922e-79,1,76,76,"regulation of RNA metabolic process","BP",8.40168912051379e-78
"87","GO:0007154",8.01153790882454e-77,1,72,72,"cell communication","BP",4.17789183917217e-75
"88","GO:0010467",2.89552683367712e-76,1,74,74,"gene expression","BP",1.49826679184456e-74
"89","GO:0009892",1.31507926354907e-74,1,71,71,"negative regulation of metabolic process","BP",6.70088098029774e-73
"90","GO:0023052",1.42133532125504e-73,1,69,69,"signaling","BP",7.18743429498288e-72
"91","GO:0010033",1.4700010103301e-73,1,70,70,"response to organic substance","BP",7.37763664958905e-72
"92","GO:0009653",4.5054010002498e-73,1,69,69,"anatomical structure morphogenesis","BP",2.24429490124384e-71
"93","GO:1903506",2.50612520133553e-72,1,69,69,"regulation of nucleic acid-templated transcription","BP",1.2300283616849e-70
"94","GO:2001141",2.50612520133553e-72,1,69,69,"regulation of RNA biosynthetic process","BP",1.2300283616849e-70
"95","GO:0070887",1.18072640930469e-71,1,68,68,"cellular response to chemical stimulus","BP",5.71112230587593e-70
"96","GO:0010646",1.06265188055978e-70,1,67,67,"regulation of cell communication","BP",5.06657235909751e-69
"97","GO:0023051",1.06265188055978e-70,1,67,67,"regulation of signaling","BP",5.06657235909751e-69
"98","GO:0051128",3.78431348651764e-70,1,66,66,"regulation of cellular component organization","BP",1.7915101079791e-68
"99","GO:0006355",4.87486208486896e-68,1,65,65,"regulation of transcription, DNA-templated","BP",2.27550380534967e-66
"100","GO:0043933",1.00146584182841e-67,1,64,64,"protein-containing complex subunit organization","BP",4.64221145430876e-66
"101","GO:0051239",1.01376808242295e-66,1,62,62,"regulation of multicellular organismal process","BP",4.66682893115394e-65
"102","GO:0010605",1.34585237420544e-66,1,64,64,"negative regulation of macromolecule metabolic process","BP",6.11126843389204e-65
"103","GO:0007399",1.36607819285621e-66,1,63,63,"nervous system development","BP",6.1611972549427e-65
"104","GO:0009893",2.79535498051074e-66,1,64,64,"positive regulation of metabolic process","BP",1.25228150972545e-64
"105","GO:0050793",3.61080154235875e-66,1,62,62,"regulation of developmental process","BP",1.60680668634964e-64
"106","GO:0007165",3.27874144579598e-65,1,61,61,"signal transduction","BP",1.43984204938738e-63
"107","GO:0010604",2.57672339887212e-64,1,62,62,"positive regulation of macromolecule metabolic process","BP",1.12415873774323e-62
"108","GO:0051641",2.34509545720584e-62,1,60,60,"cellular localization","BP",1.00343026774673e-60
"109","GO:0031325",5.34020441239664e-62,1,60,60,"positive regulation of cellular metabolic process","BP",2.27043722628965e-60
"110","GO:0009888",3.01697053296908e-61,1,58,58,"tissue development","BP",1.27457457642839e-59
"111","GO:0051173",4.92316140966255e-60,1,58,58,"positive regulation of nitrogen compound metabolic process","BP",2.06679889367909e-58
"112","GO:0043412",5.24765664730754e-59,1,56,56,"macromolecule modification","BP",2.18925675754861e-57
"113","GO:0065003",9.14356346650458e-59,1,55,55,"protein-containing complex assembly","BP",3.790887337821e-57
"114","GO:0006464",5.0572477366772e-58,1,55,55,"cellular protein modification process","BP",2.07098948725891e-56
"115","GO:0036211",5.0572477366772e-58,1,55,55,"protein modification process","BP",2.07098948725891e-56
"116","GO:0051704",5.57573246339899e-58,1,54,54,"multi-organism process","BP",2.26939110934075e-56
"117","GO:0071310",7.6577811390148e-58,1,55,55,"cellular response to organic substance","BP",3.09792055169235e-56
"118","GO:0065009",9.69922160871392e-58,1,54,54,"regulation of molecular function","BP",3.90013880952804e-56
"119","GO:0009790",1.01229271063271e-57,1,55,55,"embryo development","BP",4.04614002603195e-56
"120","GO:0032879",2.18511270926225e-57,1,53,53,"regulation of localization","BP",8.68192103233661e-56
"121","GO:0000003",4.85950326217528e-57,1,53,53,"reproduction","BP",1.91936001627337e-55
"122","GO:0009605",6.03049069245833e-57,1,53,53,"response to external stimulus","BP",2.36785443365643e-55
"123","GO:0016070",8.42187760996521e-57,1,55,55,"RNA metabolic process","BP",3.28748731266186e-55
"124","GO:0009966",1.49268065977215e-56,1,54,54,"regulation of signal transduction","BP",5.79281593254601e-55
"125","GO:0009056",2.61434888977871e-56,1,54,54,"catabolic process","BP",1.00871553984236e-54
"126","GO:1901566",3.85022618111634e-56,1,54,54,"organonitrogen compound biosynthetic process","BP",1.47702642292825e-54
"127","GO:0033554",4.02131377473092e-56,1,53,53,"cellular response to stress","BP",1.53384396836165e-54
"128","GO:0010629",9.8195743061449e-56,1,54,54,"negative regulation of gene expression","BP",3.72418514167712e-54
"129","GO:0031324",2.36082520278104e-55,1,52,52,"negative regulation of cellular metabolic process","BP",8.90311199353867e-54
"130","GO:0002376",3.26379336580608e-55,1,52,52,"immune system process","BP",1.22392251217728e-53
"131","GO:0044271",1.08799614957533e-54,1,53,53,"cellular nitrogen compound biosynthetic process","BP",4.05719234548343e-53
"132","GO:0044281",1.14851762937144e-54,1,51,51,"small molecule metabolic process","BP",4.25908620891908e-53
"133","GO:0009059",1.40941654707089e-54,1,53,53,"macromolecule biosynthetic process","BP",5.16915134708691e-53
"134","GO:0034645",1.40941654707089e-54,1,53,53,"cellular macromolecule biosynthetic process","BP",5.16915134708691e-53
"135","GO:0051246",2.2499923193003e-54,1,52,52,"regulation of protein metabolic process","BP",8.20693919744783e-53
"136","GO:0006357",4.55857238600427e-54,1,51,51,"regulation of transcription by RNA polymerase II","BP",1.65372123242275e-52
"137","GO:0044248",5.71352755891682e-53,1,51,51,"cellular catabolic process","BP",2.02860619445584e-51
"138","GO:0010628",7.90109911957039e-53,1,51,51,"positive regulation of gene expression","BP",2.79046754619748e-51
"139","GO:0033036",2.34351124845829e-52,1,50,50,"macromolecule localization","BP",8.10514900697363e-51
"140","GO:0022008",1.5722158802981e-51,1,49,49,"neurogenesis","BP",5.35435765356622e-50
"141","GO:0022414",1.61055517246274e-51,1,48,48,"reproductive process","BP",5.45708415034965e-50
"142","GO:2000026",3.39923841018263e-51,1,48,48,"regulation of multicellular organismal development","BP",1.14188156240385e-49
"143","GO:0032268",3.40426113735379e-51,1,49,49,"regulation of cellular protein metabolic process","BP",1.14188156240385e-49
"144","GO:0048468",4.36246247008109e-51,1,49,49,"cell development","BP",1.45597184938956e-49
"145","GO:0006928",1.97855916266203e-50,1,47,47,"movement of cell or subcellular component","BP",6.57058826406421e-49
"146","GO:0051649",1.55567459831732e-49,1,48,48,"establishment of localization in cell","BP",5.14065739790501e-48
"147","GO:0006793",2.23638113149703e-49,1,46,46,"phosphorus metabolic process","BP",7.31757061408954e-48
"148","GO:0006796",2.23638113149703e-49,1,46,46,"phosphate-containing compound metabolic process","BP",7.31757061408954e-48
"149","GO:0048699",2.35243128786024e-49,1,47,47,"generation of neurons","BP",7.65974577876446e-48
"150","GO:0051172",1.57187227069814e-48,1,46,46,"negative regulation of nitrogen compound metabolic process","BP",5.06871855406283e-47
"151","GO:0042592",2.24394006719598e-48,1,46,46,"homeostatic process","BP",7.20110574448711e-47
"152","GO:1901575",5.47582116511936e-48,1,46,46,"organic substance catabolic process","BP",1.74052887034151e-46
"153","GO:0060429",5.73588938393769e-48,1,45,45,"epithelium development","BP",1.81455268425517e-46
"154","GO:0030030",1.47780882092529e-47,1,45,45,"cell projection organization","BP",4.63116144585743e-46
"155","GO:0120036",1.47780882092529e-47,1,45,45,"plasma membrane bounded cell projection organization","BP",4.63116144585743e-46
"156","GO:0010941",3.52443202407924e-47,1,45,45,"regulation of cell death","BP",1.09932634395929e-45
"157","GO:0009891",5.30554071229523e-47,1,45,45,"positive regulation of biosynthetic process","BP",1.63955945623012e-45
"158","GO:0031328",5.30554071229523e-47,1,45,45,"positive regulation of cellular biosynthetic process","BP",1.63955945623012e-45
"159","GO:0009628",1.55991848471133e-46,1,43,43,"response to abiotic stimulus","BP",4.79836676748763e-45
"160","GO:0009887",3.3610689880883e-46,1,43,43,"animal organ morphogenesis","BP",1.0291346557564e-44
"161","GO:0010557",7.21951084877625e-46,1,44,44,"positive regulation of macromolecule biosynthetic process","BP",2.19046522343552e-44
"162","GO:0046907",1.83609156318775e-45,1,44,44,"intracellular transport","BP",5.52068071363883e-44
"163","GO:0008104",1.09488477867506e-44,1,43,43,"protein localization","BP",3.26265888288215e-43
"164","GO:0009890",1.60084505693776e-44,1,42,42,"negative regulation of biosynthetic process","BP",4.74917366891535e-43
"165","GO:0071702",9.86266018478479e-44,1,42,42,"organic substance transport","BP",2.90014346843341e-42
"166","GO:0031327",2.18850910353625e-43,1,41,41,"negative regulation of cellular biosynthetic process","BP",6.40714836232653e-42
"167","GO:0070727",7.93138735911673e-43,1,41,41,"cellular macromolecule localization","BP",2.31187819310499e-41
