"","Dispersion","AIC","logLik","meanExp","(Intercept)","TreatmentVariable","OriginSlope","TreatmentVariable:OriginSlope","se_(Intercept)","se_TreatmentVariable","se_OriginSlope","se_TreatmentVariable:OriginSlope","Chisq_Treatment","Chisq_Origin","Chisq_Treatment:Origin","Df_Treatment","Df_Origin","Df_Treatment:Origin","P_Treatment","P_Origin","P_Treatment:Origin"
"Pocillopora_acuta_HIv2___RNAseq.g27841.t1",0.0619286506148784,391.790865237085,-189.895432618543,5.68604350120977,4.01063676921082,0.0243497483917566,-0.153912584800411,0.0747125783071141,0.0870509175616499,0.120777089231841,0.121141473947025,0.168271410090264,0.560269944696912,1.80133306757394,0.197136381155894,1,1,1,0.454151498201633,0.179551417023655,0.65704227358308
"Pocillopora_acuta_HIv2___RNAseq.g14011.t1",0.259022277310572,290.451726677889,-139.225863338945,3.17516667037439,1.99809590222588,0.127155175485541,0.53427728480104,-0.3476119420885,0.189404430046511,0.26509664259583,0.253143532172275,0.358224580429388,0.12569195203773,4.05525287062958,0.941626366678919,1,1,1,0.722941269794648,0.0440341234457184,0.331859932461126
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3a",0.0364534346065689,328.670806833109,-158.335403416554,4.94616651491777,3.51018766545886,0.0134954814039022,-0.134308091752497,-0.0782239541237089,0.077661786771315,0.109664452959608,0.109170326976287,0.154888423861608,0.110279972022448,5.0001252971267,0.25505956201284,1,1,1,0.73982561654883,0.025345483772206,0.613534802242413
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3b",0.683830250351721,428.1025610048,-208.0512805024,4.85012120693351,4.12125201514202,-0.142420340041768,-0.874842090079872,-0.0167422026306204,0.252272999020345,0.357083441645909,0.351952641615918,0.498523840450269,0.367280629967425,12.5544564737772,0.00112785514165375,1,1,1,0.544490301929826,0.000395262546595425,0.973209236374429
"Pocillopora_acuta_HIv2___RNAseq.g3340.t1",6.16133985052902,257.238132206252,-122.619066103126,1.6897470094003,2.18323827945818,0.23510769749776,-1.61178802937094,0.819409282344276,0.755225497082376,1.06704651040965,1.0634244282477,1.49296280061998,0.76718123720956,2.56778463231414,0.301233858849001,1,1,1,0.381090474141768,0.109060367217674,0.583109934137315
"Pocillopora_acuta_HIv2___RNAseq.g682.t1",0.143287773400575,392.344398220396,-190.172199110198,5.08321394748165,3.48767990439973,0.0587231062423189,0.198284568462779,-0.227083576707386,0.140952781246715,0.179337111547427,0.196127048706003,0.24740188404878,0.243441237030275,0.306308022660537,0.84249134268451,1,1,1,0.621731645368883,0.579954616500511,0.358685216351217
"Pocillopora_acuta_HIv2___RNAseq.g4805.t1",0.085576975070874,342.177229264541,-165.08861463227,4.58620418752667,3.24181136087296,-0.0337953152239076,-0.0830250879953116,0.0168765579311277,0.118280694788226,0.15102215416626,0.164503378033749,0.210357200948238,0.0569287680090944,0.345672862536521,0.00643654755495688,1,1,1,0.811417702230737,0.556572898227534,0.93605584397425
"Pocillopora_acuta_HIv2___RNAseq.g11061.t1",3.40014378801899,265.937780062178,-126.968890031089,1.90520754057108,1.35747392258797,0.298587305930474,1.03662627924185,-1.20966352018148,0.57662292141782,0.811758285449278,0.78958432687923,1.11900014580367,0.365960655574616,0.602658199582064,1.16860807095171,1,1,1,0.545214332128136,0.437565596118862,0.279687429114103
"Pocillopora_acuta_HIv2___RNAseq.g30807.t1",0.623245555549613,342.209064873089,-165.104532436545,3.62718338417817,3.03582673075783,0.243031798712129,-0.81007768671106,-0.304500417956832,0.247033402913888,0.348006970758876,0.349229675204944,0.493509002632232,0.137853515517695,15.2169054974357,0.380702410922311,1,1,1,0.710424301944009,9.58415870110306e-05,0.537227557478971
"Pocillopora_acuta_HIv2___RNAseq.g16217.t1",0.444179441635337,291.321338426771,-139.660669213386,2.85835732699748,2.08722800086339,-0.0932002009962804,-0.0318982539773122,0.126298729606621,0.253864675117025,0.324725298350356,0.33280744199109,0.447359062946259,0.0148785816442299,0.0161412488025956,0.0797049849744661,1,1,1,0.90291660665145,0.898902238067642,0.777697604639579
"Pocillopora_acuta_HIv2___RNAseq.g24017.t1",0.0427996877940264,323.578715695452,-155.789357847726,4.60777944600593,3.16817273000167,-0.0487771724436162,0.0655732710915405,0.0356299642996863,0.100499225621458,0.129363463241394,0.139042100137648,0.177479361057235,0.116399875429462,0.736017153760167,0.0403027853289931,1,1,1,0.732972399864619,0.390939720544654,0.840889731970485
