"","Dispersion","AIC","logLik","meanExp","(Intercept)","TreatmentVariable","OriginSlope","TreatmentVariable:OriginSlope","se_(Intercept)","se_TreatmentVariable","se_OriginSlope","se_TreatmentVariable:OriginSlope","Chisq_Treatment","Chisq_Origin","Chisq_Treatment:Origin","Df_Treatment","Df_Origin","Df_Treatment:Origin","P_Treatment","P_Origin","P_Treatment:Origin"
"Pocillopora_acuta_HIv2___TS.g25814.t1",2.2662666162782,364.878592043858,-176.439296021929,2.96567649800476,0.835222297073739,0.422621857677488,2.64036055483889,-0.72547218703025,0.0159260875434775,0.0159160290543489,0.0159169917740412,0.0159125309543412,703.596279044752,27512.3920255155,2078.56213477102,1,1,1,4.93938051851244e-155,0,0
"Pocillopora_acuta_HIv2___RNAseq.g8527.t1",1.4071731955174,391.949339123767,-189.974669561883,3.49430246240516,1.82364192939731,0.188236102331878,2.16446009412973,-1.02899697094931,0.0253093782805614,0.0248640613863346,0.024744463317405,0.0256181203804027,55.0802771795965,7596.4919095298,1613.36885342344,1,1,1,1.15706146639146e-13,0,0
"Pocillopora_acuta_HIv2___RNAseq.g17983.t1",9.76099181599097,372.657542520341,-180.32877126017,2.84827070512886,4.12550525126034,0.228049490016928,-4.11447555560857,-0.452849671641747,0.0109565847870902,0.0109543842085395,0.0109576779685303,0.0109550457861437,433.609236270637,140985.968174898,1708.75469290247,1,1,1,2.66284336934669e-96,0,0
"Pocillopora_acuta_HIv2___RNAseq.g13538.t2",2.44670575723515,371.268846129106,-179.634423064553,2.9422290674471,1.5130090767257,0.550458382355412,1.87289465834316,-1.13794892248091,0.0148317846804888,0.014803359428101,0.0148067960476797,0.0147970702161898,1381.2872152256,15998.8120018885,5914.17360305208,1,1,1,2.44780305000403e-302,0,0
"Pocillopora_acuta_HIv2___RNAseq.g17946.t1",0.409327875425455,390.903850736943,-189.451925368472,3.79773531681167,2.48951287862417,0.0447874363968834,0.310969275543269,0.414943309903954,0.0123843191510258,0.0123951269103442,0.0123879802628941,0.0124007999841092,12.4170264838839,625.087455432931,1119.63928534943,1,1,1,0.00042543710111665,5.85142108283082e-138,1.78005039205123e-245
"Pocillopora_acuta_HIv2___RNAseq.26339_t",2.25119321858295,398.990971598807,-193.495485799404,3.32306756627932,2.87838153097916,0.407805800796302,-0.328338461109055,-1.02738141976208,0.0323403360533458,0.0324322576735613,0.032433681300167,0.0324934590214811,22.5904420426977,103.843607547719,999.704214671885,1,1,1,2.00479501654026e-06,2.18933044115697e-24,2.08237515880355e-219
"Pocillopora_acuta_HIv2___RNAseq.g27620.t1",0.629063524791141,384.57647741578,-186.28823870789,3.92955935676482,3.13272591162484,0.0986312003718539,-0.358982623559879,-0.732752834394423,0.0239842207861056,0.0240584711182913,0.0240218579828772,0.0240468745797952,15.8710434549188,545.631011205826,928.533843220949,1,1,1,6.7808304490914e-05,1.12312874601937e-120,6.15194634501021e-204
"Pocillopora_acuta_HIv2___RNAseq.g9906.t1",0.320828025096059,364.757598495303,-176.378799247651,4.02548167628834,2.80545199732387,0.190433341870825,0.145253102184807,-0.589099487422284,0.0237295666685237,0.023838383947695,0.0238422652404632,0.0238799284023431,58.6744713386195,34.0665761648214,608.57099408454,1,1,1,1.86039773869502e-14,5.32582696138295e-09,2.28855538124984e-134
"Pocillopora_acuta_HIv2___TS.g11017.t1",0.563639079638372,330.923428429734,-159.461714214867,3.11754423500737,2.50714055560267,-0.355845498941674,-0.279202626644197,0.244215071521021,0.014289305554558,0.0142952764853098,0.0143156461879097,0.0143060038993329,619.270142193752,380.462409989762,291.41254712623,1,1,1,1.07770207267061e-136,9.869325738482e-85,2.44780950412233e-65
"Pocillopora_acuta_HIv2___RNAseq.g15034.t2",0.210652714205737,420.240033170018,-204.120016585009,5.20150796299666,3.54859176556967,-0.0308560060699546,0.322396465392028,-0.316793801349243,0.0272556669438522,0.0274339807424676,0.0275984793889506,0.027664330377471,2.01150689264358,132.235440350804,131.133310590158,1,1,1,0.156110192498974,1.32886462486123e-30,2.31523984158388e-30
"Pocillopora_acuta_HIv2___RNAseq.g28458.t1",0.102676327108496,451.90669123035,-219.953345615175,6.07260010019778,4.06882175171803,0.0894511717688802,0.393470273675669,-0.320282194760118,0.0318226975350939,0.0330436043621853,0.0335362317484879,0.0341703758331458,4.5272961600161,129.482087269017,87.8549185966146,1,1,1,0.0333582828824903,5.31943544694819e-30,7.04358695963714e-21
