Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
clean.RF13B_S85_L001_R1_001	clean.RF13B_S85_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3581301.0	0.0	15-101	46.0	63.917573914308235	97.59403691563485	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF13B_S85_L002_R1_001	clean.RF13B_S85_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3586897.0	0.0	15-101	46.0	63.472234927323655	97.59279287919335	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
clean.RF13D_S112_L001_R1_001	clean.RF13D_S112_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3941354.0	0.0	15-101	46.0	56.527838383828886	97.64479820894037	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF13D_S112_L002_R1_001	clean.RF13D_S112_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3940653.0	0.0	15-101	46.0	56.224471367927066	97.64118281919265	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF14B_S116_L001_R1_001	clean.RF14B_S116_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3934878.0	0.0	15-101	46.0	63.1846194031531	98.36136418969025	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF14B_S116_L002_R1_001	clean.RF14B_S116_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3933351.0	0.0	15-101	46.0	62.96553184433248	98.36695021624055	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF14C_S95_L001_R1_001	clean.RF14C_S95_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4172180.0	0.0	15-101	47.0	57.55788926965933	98.09107996299296	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF14C_S95_L002_R1_001	clean.RF14C_S95_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	4166582.0	0.0	15-101	47.0	57.06685432842997	98.09908217334976	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF15B_S122_L001_R1_001	clean.RF15B_S122_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3852770.0	0.0	15-101	46.0	61.993754410365284	98.32865081486827	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF15B_S122_L002_R1_001	clean.RF15B_S122_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3856184.0	0.0	15-101	46.0	61.441691894486375	98.32737805042498	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF15D_S84_L001_R1_001	clean.RF15D_S84_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3795357.0	0.0	15-101	45.0	63.298423442830355	98.15053814436955	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
clean.RF15D_S84_L002_R1_001	clean.RF15D_S84_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3794371.0	0.0	15-101	45.0	62.68152645810427	98.15618715196801	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass
clean.RF16A_S118_L001_R1_001	clean.RF16A_S118_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3615812.0	0.0	15-101	46.0	26.70689943682661	99.61584396533891	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
clean.RF16A_S118_L002_R1_001	clean.RF16A_S118_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3625337.0	0.0	15-101	46.0	26.53941025774162	99.62592001791833	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
clean.RF16C_S97_L001_R1_001	clean.RF16C_S97_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3396558.0	0.0	15-101	46.0	36.66000122780202	99.56752924578353	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
clean.RF16C_S97_L002_R1_001	clean.RF16C_S97_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3401235.0	0.0	15-101	46.0	36.510932387692776	99.57438577457894	pass	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
clean.RF17B_S80_L001_R1_001	clean.RF17B_S80_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3389743.0	0.0	15-101	46.0	60.57644904427734	97.7888813399718	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF17B_S80_L002_R1_001	clean.RF17B_S80_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3393594.0	0.0	15-101	46.0	60.167151929067266	97.78943680357756	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF17D_S99_L001_R1_001	clean.RF17D_S99_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3499695.0	0.0	15-101	46.0	59.46223508854902	97.58226073986448	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF17D_S99_L002_R1_001	clean.RF17D_S99_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3495040.0	0.0	15-101	46.0	59.09320472945667	97.59538088262224	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF18B_S90_L001_R1_001	clean.RF18B_S90_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3789414.0	0.0	15-101	47.0	59.043645433789735	97.33680616580823	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
clean.RF18B_S90_L002_R1_001	clean.RF18B_S90_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	3805415.0	0.0	15-101	47.0	58.57435685976353	97.34866236665384	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
