"","Pocillopora_acuta_best_hit","accessionnumber.geneID","definition","Ref","substanceBXH","geneSymbol","moduleColor","GO.terms","GO.description","GS.Flat","GS.Slope","p.GS.Flat","p.GS.Slope","A.blue","p.A.blue","A.black","p.A.black","A.pink","p.A.pink","A.red","p.A.red","A.salmon","p.A.salmon","A.greenyellow","p.A.greenyellow","A.turquoise","p.A.turquoise","A.cyan","p.A.cyan","A.brown","p.A.brown","A.lightcyan","p.A.lightcyan","A.tan","p.A.tan","A.green","p.A.green","A.purple","p.A.purple","A.magenta","p.A.magenta","A.midnightblue","p.A.midnightblue","A.grey60","p.A.grey60"
"225","Pocillopora_acuta_HIv2___RNAseq.g10093.t2","XP_022804785.1","thioredoxin reductase 1, cytoplasmic-like [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g10093.t2","Pocillopora_acuta_HIv2___Sc0000021","blue","GO:0000003,GO:0000302,GO:0000305,GO:0001650,GO:0001704,GO:0001707,GO:0001887,GO:0001890,GO:0003006,GO:0003674,GO:0003824,GO:0004791,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005739,GO:0005783,GO:0005829,GO:0006082,GO:0006139,GO:0006518,GO:0006520,GO:0006575,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006749,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006979,GO:0007154,GO:0007165,GO:0007275,GO:0007369,GO:0007498,GO:0008150,GO:0008152,GO:0008283,GO:0009056,GO:0009069,GO:0009117,GO:0009611,GO:0009628,GO:0009636,GO:0009653,GO:0009790,GO:0009888,GO:0009987,GO:0010035,GO:0010038,GO:0010269,GO:0010941,GO:0010942,GO:0012505,GO:0015036,GO:0015949,GO:0016043,GO:0016174,GO:0016209,GO:0016259,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0016999,GO:0017001,GO:0017144,GO:0018996,GO:0019216,GO:0019222,GO:0019362,GO:0019637,GO:0019725,GO:0019752,GO:0022404,GO:0022414,GO:0022607,GO:0023052,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0033554,GO:0033797,GO:0034599,GO:0034641,GO:0036295,GO:0036296,GO:0036477,GO:0042221,GO:0042303,GO:0042395,GO:0042493,GO:0042537,GO:0042592,GO:0042737,GO:0042743,GO:0042744,GO:0042802,GO:0042803,GO:0043025,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043436,GO:0043603,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044297,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044452,GO:0044464,GO:0045340,GO:0045454,GO:0046483,GO:0046496,GO:0046688,GO:0046872,GO:0046914,GO:0046983,GO:0048332,GO:0048513,GO:0048518,GO:0048522,GO:0048598,GO:0048608,GO:0048646,GO:0048678,GO:0048729,GO:0048731,GO:0048856,GO:0050664,GO:0050789,GO:0050794,GO:0050896,GO:0051186,GO:0051187,GO:0051259,GO:0051262,GO:0051716,GO:0055086,GO:0055093,GO:0055114,GO:0061458,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070276,GO:0070482,GO:0070887,GO:0070995,GO:0071241,GO:0071248,GO:0071280,GO:0071453,GO:0071455,GO:0071704,GO:0071840,GO:0072524,GO:0072593,GO:0080090,GO:0097237,GO:0097458,GO:0098623,GO:0098625,GO:0098626,GO:0098754,GO:0098869,GO:1901360,GO:1901564,GO:1901605,GO:1901700,GO:1990748","thioredoxin-disulfide reductase activity",0.571903436936972,-0.571903436936972,3.29626526276141e-05,3.29626526276141e-05,0.681623586084017,1.83924324333428e-07,-0.583347543130303,2.0930276500601e-05,0.27842751438142,0.0609777893884306,-0.408335614690866,0.00484442520633697,-0.747287293186464,2.43718076628304e-09,0.673943121661476,2.83896321272549e-07,-0.33303847015846,0.0237217698651545,0.426747962282579,0.0031008520685485,0.127191201941131,0.399597207925324,0.0911003901485812,0.547092324870114,0.21762032757168,0.146270907313143,0.0966180052045438,0.522980244538207,0.0833456659937426,0.58185259294931,-0.335763352919509,0.0225331239228953,0.0097002311526369,0.948985324618865,-0.0273657024682116,0.856737262746502
"608","Pocillopora_acuta_HIv2___RNAseq.g11609.t1","P33_g8985","Flagellar associated protein","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g11609.t1","Pocillopora_acuta_HIv2___Sc0000013","turquoise","-","-",-0.296156732157413,0.296156732157413,0.0456695068076581,0.0456695068076581,-0.473654883573771,0.000884625898370485,0.414978657824305,0.00413581190282153,-0.340992920930728,0.0203915894109819,0.222854345051546,0.136574773596761,0.162202568240506,0.28148592771706,-0.159441185122053,0.289867790710501,0.585792030312679,1.89527533505048e-05,-0.127144521888533,0.399771643965614,-0.593372390074902,1.38601498386911e-05,0.186597202061651,0.214356583769801,0.181919733845374,0.22627441941268,-0.219113325267317,0.143454717169781,-0.157875487180297,0.294691605136664,-0.197264054439336,0.188831039929797,0.100592699402867,0.505943532465856,-0.188754159814424,0.209010742546486
"1253","Pocillopora_acuta_HIv2___RNAseq.g13824.t1","Gene:g27814","Annotated: carbonic anhydrase (STPCA2-2)","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g13824.t1","Pocillopora_acuta_HIv2___Sc0000005","blue","GO:0003674,GO:0003824,GO:0004064,GO:0004089,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006810,GO:0006811,GO:0006820,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0009987,GO:0010033,GO:0015701,GO:0015711,GO:0016787,GO:0016788,GO:0016829,GO:0016835,GO:0016836,GO:0019221,GO:0023052,GO:0034097,GO:0035722,GO:0042221,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0052689,GO:0065007,GO:0070671,GO:0070887,GO:0071310,GO:0071345,GO:0071349,GO:0071702","carbonate dehydratase activity",0.822843133579102,-0.822843133579102,2.2824047189116e-12,2.2824047189116e-12,0.90657454727581,4.30662586370753e-18,-0.806930352019968,1.27175724347521e-11,0.635010610465072,2.1357445544204e-06,-0.640804475442731,1.61022339668166e-06,-0.748265565715074,2.26282213677285e-09,0.628010535510632,2.9814032709036e-06,-0.479241558495443,0.000752673530089047,0.505103857148612,0.000343450425138491,0.313514289872833,0.0338668720564468,0.228218594749819,0.127142730032386,0.157445172554161,0.296026421924548,0.103795931840928,0.492421754485561,0.291667109465106,0.0492134845244692,-0.0886869790127492,0.55780329676046,0.0458017530835996,0.762459813731987,0.144913404742409,0.336609139664962
"1427","Pocillopora_acuta_HIv2___RNAseq.g14505.t1","Gene:g9094","Annotated: Actin","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g14505.t1","Pocillopora_acuta_HIv2___xfSc0000036","turquoise","GO:0000123,GO:0000278,GO:0000281,GO:0000910,GO:0003674,GO:0005198,GO:0005200,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005856,GO:0005884,GO:0005886,GO:0005912,GO:0005924,GO:0005925,GO:0006325,GO:0006338,GO:0006464,GO:0006473,GO:0006475,GO:0006807,GO:0006996,GO:0007010,GO:0007015,GO:0007049,GO:0007275,GO:0007507,GO:0007517,GO:0007519,GO:0007528,GO:0008150,GO:0008152,GO:0009653,GO:0009888,GO:0009987,GO:0010927,GO:0014706,GO:0014866,GO:0014902,GO:0014904,GO:0015629,GO:0016020,GO:0016043,GO:0016569,GO:0016570,GO:0016573,GO:0018193,GO:0018205,GO:0018393,GO:0018394,GO:0019538,GO:0022402,GO:0022607,GO:0030029,GO:0030036,GO:0030054,GO:0030055,GO:0030154,GO:0030239,GO:0031032,GO:0031248,GO:0031974,GO:0031981,GO:0032501,GO:0032502,GO:0032989,GO:0032991,GO:0034728,GO:0035267,GO:0036211,GO:0042692,GO:0043044,GO:0043170,GO:0043189,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043486,GO:0043543,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044430,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0048468,GO:0048513,GO:0048646,GO:0048731,GO:0048741,GO:0048747,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050803,GO:0050807,GO:0050808,GO:0051128,GO:0051146,GO:0051276,GO:0051301,GO:0055001,GO:0055002,GO:0060537,GO:0060538,GO:0061061,GO:0061640,GO:0065007,GO:0065008,GO:0070013,GO:0070161,GO:0070925,GO:0071689,GO:0071704,GO:0071824,GO:0071840,GO:0071944,GO:0072359,GO:0097433,GO:0097435,GO:0098529,GO:0099080,GO:0099081,GO:0099512,GO:0099513,GO:1901564,GO:1902493,GO:1902494,GO:1902562,GO:1903047,GO:1990234","belongs to the actin family",-0.449842868287519,0.449842868287519,0.00170946922648442,0.00170946922648442,-0.518860617461688,0.000220448024578535,0.587245768982295,1.7859669537399e-05,-0.392573473076582,0.00696385464896524,0.192133409956656,0.200824249638531,0.312232336074067,0.0346422767021242,-0.284120480730015,0.0556699768425978,0.761239323099868,8.18087758032509e-10,-0.462059960026514,0.00122640885937376,-0.740747755017261,3.96918124047022e-09,0.333578209996491,0.0234822439665439,0.0636769015117574,0.674179118212051,-0.503723351223105,0.000358707844146869,-0.0697127694165789,0.645255207936731,-0.131406041323386,0.384029872002075,-0.094778218913555,0.530961223023781,-0.390171801977736,0.00734883485749333
"1466","Pocillopora_acuta_HIv2___RNAseq.g14663.t1a","PFX27832.1","Poly [ADP-ribose] polymerase 11 [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g14663.t1a","Pocillopora_acuta_HIv2___Sc0000020","turquoise","GO:0000003,GO:0001067,GO:0001501,GO:0001568,GO:0001570,GO:0001655,GO:0001822,GO:0001944,GO:0002376,GO:0002520,GO:0003006,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003950,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006464,GO:0006471,GO:0006629,GO:0006807,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007548,GO:0008150,GO:0008152,GO:0008202,GO:0008209,GO:0008210,GO:0008406,GO:0008585,GO:0009653,GO:0009791,GO:0009887,GO:0009888,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009987,GO:0010033,GO:0010171,GO:0010468,GO:0010604,GO:0010605,GO:0010629,GO:0010817,GO:0014070,GO:0016740,GO:0016757,GO:0016763,GO:0019222,GO:0019538,GO:0022414,GO:0023052,GO:0030097,GO:0030154,GO:0032501,GO:0032502,GO:0034754,GO:0035239,GO:0035295,GO:0035326,GO:0036211,GO:0042176,GO:0042221,GO:0042445,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044212,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0045137,GO:0045732,GO:0046545,GO:0046660,GO:0048008,GO:0048513,GO:0048514,GO:0048518,GO:0048519,GO:0048534,GO:0048608,GO:0048705,GO:0048731,GO:0048745,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051716,GO:0060021,GO:0060255,GO:0060322,GO:0060323,GO:0060324,GO:0060325,GO:0060537,GO:0061458,GO:0065007,GO:0065008,GO:0070887,GO:0071310,GO:0071407,GO:0071704,GO:0072001,GO:0072358,GO:0072359,GO:0080090,GO:0097159,GO:1901360,GO:1901363,GO:1901564","TCDD-inducible poly ADP-ribose polymerase",0.0427786399534038,-0.0427786399534038,0.777726300215154,0.777726300215154,-0.154400186661384,0.305583290855815,0.20957116385373,0.16216057207735,-0.0684170789643577,0.651422467391748,0.10734696305852,0.47765347034045,0.232033501891713,0.120738727443029,-0.144723476178394,0.337249586569645,0.210291352888065,0.160689672619481,-0.172341031070437,0.252084807232262,-0.362606867160135,0.0132652825990553,0.183788417450656,0.221459572988732,0.451051216581108,0.00165512619043874,0.0948641577422348,0.530587097364109,-0.226836888423449,0.12952403459252,0.161466840699173,0.283703462744949,0.338323606178949,0.0214622280107234,-0.273776138135782,0.0656084237346032
"1642","Pocillopora_acuta_HIv2___RNAseq.g15280.t1","AJQ31790.1","solute carrier family 4 member gamma [Stylophora pistillata]","Zoccola et al., 2015","Pocillopora_acuta_HIv2___RNAseq.g15280.t1","Pocillopora_acuta_HIv2___Sc0000006","pink","GO:0000003,GO:0003674,GO:0005215,GO:0005452,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006820,GO:0006821,GO:0006873,GO:0006885,GO:0007275,GO:0007276,GO:0007283,GO:0008150,GO:0008324,GO:0008509,GO:0008510,GO:0008514,GO:0009987,GO:0015075,GO:0015077,GO:0015081,GO:0015103,GO:0015106,GO:0015108,GO:0015291,GO:0015293,GO:0015294,GO:0015297,GO:0015301,GO:0015318,GO:0015370,GO:0015672,GO:0015698,GO:0015701,GO:0015711,GO:0016020,GO:0016021,GO:0016323,GO:0016324,GO:0019725,GO:0019899,GO:0019953,GO:0022414,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030004,GO:0030641,GO:0031224,GO:0031226,GO:0032501,GO:0032502,GO:0032504,GO:0034220,GO:0035295,GO:0035725,GO:0042592,GO:0044425,GO:0044459,GO:0044464,GO:0044703,GO:0045177,GO:0046873,GO:0048232,GO:0048565,GO:0048609,GO:0048731,GO:0048856,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0051453,GO:0051704,GO:0055067,GO:0055080,GO:0055082,GO:0055085,GO:0055123,GO:0065007,GO:0065008,GO:0071702,GO:0071944,GO:0098590,GO:0098655,GO:0098656,GO:0098660,GO:0098661,GO:0098662,GO:0098771,GO:0099516,GO:1902476","sodium:bicarbonate symporter activity",0.421240844588969,-0.421240844588969,0.00355268335928495,0.00355268335928495,0.519053841077508,0.000219049810225818,-0.641650875457993,1.54437538209599e-06,0.753711586835298,1.48755497639419e-09,-0.635706902419441,2.06510272415595e-06,-0.462421847702282,0.00121417637589553,0.0948033028983463,0.530852009179877,-0.184717979788259,0.219091054985066,0.216403968404392,0.148595306419593,0.247150602653406,0.0977367078493697,0.328458223797748,0.0258379423596231,-0.27623682228968,0.0631250443643653,-0.230543784834678,0.12320983505535,0.807939233832065,1.14596517551085e-11,0.123532086347922,0.413404375766296,-0.124918252709883,0.408142084647436,0.216176845600927,0.149032326243914
"1700","Pocillopora_acuta_HIv2___RNAseq.g15517.t1","XP_022789932.1","MAGUK p55 subfamily member 7-like [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g15517.t1","Pocillopora_acuta_HIv2___Sc0000006","cyan","GO:0003674,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005886,GO:0005911,GO:0005912,GO:0005923,GO:0007043,GO:0007163,GO:0008104,GO:0008150,GO:0008582,GO:0009966,GO:0009967,GO:0009987,GO:0010646,GO:0010647,GO:0016020,GO:0016043,GO:0019904,GO:0022607,GO:0023051,GO:0023056,GO:0030010,GO:0030054,GO:0030424,GO:0031334,GO:0031974,GO:0031981,GO:0032947,GO:0032991,GO:0033036,GO:0033267,GO:0034329,GO:0034330,GO:0035591,GO:0040008,GO:0042995,GO:0043005,GO:0043195,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043254,GO:0043296,GO:0043297,GO:0043679,GO:0044085,GO:0044087,GO:0044089,GO:0044306,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044444,GO:0044446,GO:0044456,GO:0044459,GO:0044463,GO:0044464,GO:0045202,GO:0045216,GO:0046982,GO:0046983,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048638,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0051128,GO:0051130,GO:0051179,GO:0051239,GO:0051960,GO:0051963,GO:0060090,GO:0061174,GO:0065007,GO:0065008,GO:0070013,GO:0070160,GO:0070161,GO:0070830,GO:0071212,GO:0071840,GO:0071896,GO:0071944,GO:0097025,GO:0097458,GO:0098793,GO:0098796,GO:0098797,GO:0120025,GO:0120038,GO:0150034,GO:1902414,GO:1904396,GO:2000026","protein localization to adherens junction",-0.0911763918940217,0.0911763918940217,0.546756624287992,0.546756624287992,-0.00388823433959409,0.979540005990876,0.0395217702227788,0.7942662898456,-0.145878230477859,0.333367381938105,-0.00523493256786688,0.972456012293954,-0.0476070973225403,0.753384927862876,0.0627240632597513,0.678789277418132,0.0338270861423026,0.823398288852311,0.197039891260695,0.189344135850772,0.0277946231016242,0.85451581662423,0.0245025906218729,0.871593032521313,-0.0976227297064,0.518647008439538,-0.090013051342115,0.551905866318312,-0.0936195062335034,0.536018138129742,-0.055336995231381,0.714913591386852,-0.204529549211927,0.172733020764962,0.0599678475267455,0.69218975707704
"1930","Pocillopora_acuta_HIv2___RNAseq.g16280.t1","AGE35225.2","CARP1 [Stylophora pistillata]","Mass et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g16280.t1","Pocillopora_acuta_HIv2___xfSc0000007","tan","GO:0003674,GO:0005488,GO:0005509,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005788,GO:0005794,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0012505,GO:0019538,GO:0031974,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043687,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046872,GO:0070013,GO:0071704,GO:1901564","calcium ion binding",0.130043248733012,-0.130043248733012,0.389023625289799,0.389023625289799,0.129480284055728,0.391097611165732,-0.0541584348923589,0.72073694055082,0.221510028120158,0.139018163533878,-0.0613973086171203,0.685227915876829,0.064563772896714,0.669898711950922,0.0978497283191229,0.517670481870601,-0.0579459232664097,0.702079956038736,-0.123244839007998,0.414499680572155,-0.0443928232084542,0.76956408960023,0.142013227091572,0.346470909854181,0.477832249634465,0.000784179816377582,0.167913234650942,0.264660344424821,-0.0911383052830206,0.54692484097607,0.141805974733149,0.347182383171031,0.187175898275026,0.212913082376453,-0.116638910835099,0.440142307723017
"1931","Pocillopora_acuta_HIv2___RNAseq.g16280.t1","Gene:g1484","Annotated: CARP1","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g16280.t1","Pocillopora_acuta_HIv2___xfSc0000007","tan","GO:0003674,GO:0005488,GO:0005509,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005788,GO:0005794,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0012505,GO:0019538,GO:0031974,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043687,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046872,GO:0070013,GO:0071704,GO:1901564","calcium ion binding",0.130043248733012,-0.130043248733012,0.389023625289799,0.389023625289799,0.129480284055728,0.391097611165732,-0.0541584348923589,0.72073694055082,0.221510028120158,0.139018163533878,-0.0613973086171203,0.685227915876829,0.064563772896714,0.669898711950922,0.0978497283191229,0.517670481870601,-0.0579459232664097,0.702079956038736,-0.123244839007998,0.414499680572155,-0.0443928232084542,0.76956408960023,0.142013227091572,0.346470909854181,0.477832249634465,0.000784179816377582,0.167913234650942,0.264660344424821,-0.0911383052830206,0.54692484097607,0.141805974733149,0.347182383171031,0.187175898275026,0.212913082376453,-0.116638910835099,0.440142307723017
"1953","Pocillopora_acuta_HIv2___RNAseq.g1634.t1","XP_022790441.1","PHD finger protein 21A-like [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g1634.t1","Pocillopora_acuta_HIv2___xpSc0000387","turquoise","GO:0000118,GO:0000122,GO:0000976,GO:0000977,GO:0001012,GO:0001067,GO:0001967,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003712,GO:0003824,GO:0004407,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0006325,GO:0006355,GO:0006357,GO:0006464,GO:0006476,GO:0006807,GO:0006950,GO:0006996,GO:0007596,GO:0007599,GO:0007610,GO:0007631,GO:0008150,GO:0008152,GO:0009611,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016043,GO:0016569,GO:0016570,GO:0016575,GO:0016787,GO:0016810,GO:0016811,GO:0019213,GO:0019219,GO:0019222,GO:0019538,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032501,GO:0032991,GO:0033558,GO:0035601,GO:0036211,GO:0042060,GO:0042393,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043565,GO:0044212,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050817,GO:0050878,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051704,GO:0051705,GO:0060255,GO:0065007,GO:0065008,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0097159,GO:0098732,GO:0140096,GO:0140110,GO:1901363,GO:1901564,GO:1902494,GO:1902679,GO:1903506,GO:1903507,GO:1990391,GO:1990837,GO:2000112,GO:2000113,GO:2001141","histone binding",-0.171764783381378,0.171764783381378,0.253698252082516,0.253698252082516,-0.101105657700876,0.503765578481109,0.0575428950916205,0.704057258111003,0.138058121523136,0.360202824848113,-0.323881770424722,0.02810747000269,-0.0990282399070126,0.512615442508418,-0.166589983972848,0.268498170721512,0.408897689206236,0.00478061427960189,-0.275689446714724,0.0636708775595505,-0.379023540683813,0.00938682447930334,0.419640267549321,0.0036944048222098,-0.12693076333986,0.400570990729958,-0.500978291633087,0.000390876596500834,0.490985260589962,0.000531135812612098,-0.0805997581062951,0.594395281888828,-0.115157049011407,0.446012743334283,-0.140318598122491,0.352314672690255
