"","Dispersion","AIC","logLik","meanExp","(Intercept)","TreatmentVariable","OriginFlat","TreatmentVariable:OriginFlat","se_(Intercept)","se_TreatmentVariable","se_OriginFlat","se_TreatmentVariable:OriginFlat","Chisq_Treatment","Chisq_Origin","Chisq_Treatment:Origin","Df_Treatment","Df_Origin","Df_Treatment:Origin","P_Treatment","P_Origin","P_Treatment:Origin","Treatment","Origin","Treatment:Origin","Stable_OriginFC","Variable_OriginFC","maxGroupFC","col","Gene"
"Pocillopora_acuta_HIv2___RNAseq.g2606.t1",0.0416262328819226,378.884272652907,-183.442136326453,5.6039058906309,3.79739321949759,0.149291634911219,-0.0239254713559055,0.10154575818061,0.0357476955240392,0.0364107402663227,0.0384830456884099,0.0395115119874654,20.6870291917714,0.129019568887325,6.60505251330052,1,1,1,5.40811096779633e-06,0.719450756997478,0.010168980474658,0.0030457804956758,0.606721582232337,0.999427929836143,0.0337510239158378,-0.109938887576492,"Variable","Not Significant","Pocillopora_acuta_HIv2___RNAseq.g2606.t1"
"Pocillopora_acuta_HIv2___RNAseq.g14176.t1",0.505809753774115,319.418126838173,-153.709063419087,3.38768411740621,2.44974723866487,-0.680643690199699,0.00258648730105194,1.06459950076319,0.0186575585294364,0.0186260449400973,0.0186384877873295,0.0186592755306859,1316.4061414363,0.117831757790623,3255.23960631344,1,1,1,3.07577272874356e-288,0.731398125405682,0,2.77157880587082e-284,0.609840074470216,0,-0.00343537020791196,-1.39473252101673,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g14176.t1"
"Pocillopora_acuta_HIv2___RNAseq.g26517.t1",0.904693318420474,331.527935425513,-159.763967712757,3.08993254220299,2.15997742035043,-0.245226687370304,0.215867547064358,0.647468181150904,0.0186831878666957,0.0196623255164913,0.0196672861622793,0.0196868860795943,36.0655630140901,320.858154416768,1081.64016228691,1,1,1,1.90788906398608e-09,9.41840582687103e-72,3.23088221115851e-237,1.43266569629822e-06,9.53361501607363e-69,1.45567398023747e-233,-0.282172176904187,-1.13418618683757,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g26517.t1"
"Pocillopora_acuta_HIv2___RNAseq.g14607.t1",0.483834763221394,661.942010371892,-324.971005185946,8.54266962622627,6.34875509502726,-0.200572850331279,-0.695159950596006,0.391675882872377,0.0452674978318267,0.0439833751552319,0.0461986567180141,0.0447371089182819,17.7775891279011,221.168508842434,76.6510012634954,1,1,1,2.48290681463292e-05,5.02927074861789e-50,2.04002613100063e-18,0.0131608666509748,4.36353473433858e-47,1.41405195895744e-15,1.00037712019776,0.436744364500868,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g14607.t1"
"Pocillopora_acuta_HIv2___TS.g26005.t1",5.92105046367991,323.040728280608,-155.520364140304,2.3790578527642,2.13630183248563,-0.407160071975485,1.19280821479132,1.09431241622192,0.0500134232657945,0.0502037084482725,0.0505237722070791,0.0504933204286343,63.6603082987577,559.069791705298,469.693761785891,1,1,1,1.47833384098737e-15,1.33958694728162e-123,3.7360135155417e-104,1.66515828014215e-12,2.0339598554201e-120,6.73304355770925e-101,-1.61060144606091,-3.0897343558272,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___TS.g26005.t1"
"Pocillopora_acuta_HIv2___RNAseq.g15956.t1",0.390896766544671,490.29562793729,-239.147813968645,6.11422243654843,4.543605902437,-0.413672156864776,-0.241783677726678,0.420340884382116,0.0331350070778038,0.0332079030268464,0.0333791212254715,0.0334743337921273,148.62087265427,49.748583125387,157.681006133514,1,1,1,3.47066860171491e-34,1.74764349841638e-12,3.63364954486152e-36,7.81854869251326e-31,6.0461988670228e-10,5.45713600812452e-33,0.344673629142374,-0.25386437531243,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g15956.t1"
"Pocillopora_acuta_HIv2___RNAseq.g25278.t1",0.614862811522314,535.430112447375,-261.715056223688,6.1931835415984,4.9173009829152,-0.547344946135624,-0.581578707970621,0.590308740677617,0.272446452381441,0.136071183518047,0.306663818927082,0.315314898758158,15.4686628427193,4.24056325193355,3.50485006628485,1,1,1,8.38845218908787e-05,0.0394690706859936,0.0611893840507497,0.0419935237088171,0.142685249909018,0.999427929836143,0.830795363108761,-0.0124380955514765,"Stable","Not Significant","Pocillopora_acuta_HIv2___RNAseq.g25278.t1"
"Pocillopora_acuta_HIv2___RNAseq.g21580.t1a",0.197570161702942,410.065660910698,-199.032830455349,5.14357680713876,3.4535413888175,0.355079782730206,0.180270018414502,-0.290398609068625,0.0552973128084717,0.0574682812528454,0.0586579748770319,0.0608172092176368,32.134197739174,6.90641725143921,22.8000652074369,1,1,1,1.43882228407977e-08,0.00858869184068573,1.7975960643113e-06,9.26087685845913e-06,0.0577018916958685,0.000623005312904198,-0.252758856785328,0.155242232660277,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g21580.t1a"
"Pocillopora_acuta_HIv2___RNAseq.g21866.t1",5.63270047556579,291.06247464055,-139.531237320275,2.00366381696163,1.76574660801339,0.363099284978843,0.0584477066632084,0.189720228376839,0.0530990718169819,0.0529286883943843,0.780321478855159,1.04561002667226,47.3091867811647,0.0721998464613309,0.0329221204252587,1,1,1,6.06274039688794e-12,0.788160327720087,0.856018662609654,5.46313537163572e-09,0.624909694578736,0.999427929836143,-0.0723082531586718,-0.323918970544983,"Variable","Not Significant","Pocillopora_acuta_HIv2___RNAseq.g21866.t1"
"Pocillopora_acuta_HIv2___RNAseq.g11140.t1",0.627811788603917,485.351615864501,-236.67580793225,5.70901769847924,4.65350798153088,-0.317384775463078,-1.02503966340123,0.465493242087684,0.0535886353314729,0.0518813374333106,0.0527405217684972,0.052820794552788,34.5233928454289,370.8039559658,77.6634897335082,1,1,1,4.21159269317547e-09,1.25068655055258e-82,1.22179011202027e-18,2.91928167370801e-06,1.51918245587563e-79,1.00086824540133e-15,1.45468723743112,0.793346701054223,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g11140.t1"
"Pocillopora_acuta_HIv2___RNAseq.26339_t",2.23477418829536,372.624200686694,-180.312100343347,3.18634952460443,2.62302081246926,-0.603669810041798,0.188175656797323,0.792648304904945,0.0296062124994168,0.0295732792673695,0.537303129952399,0.672282410861331,415.366363251624,2.04152581961624,1.39013690422816,1,1,1,2.48900222668664e-92,0.153056053377478,0.238381981147185,7.47613302155778e-89,0.306472489760906,0.999427929836143,-0.254635703618488,-1.30529585177952,"Variable","Not Significant","Pocillopora_acuta_HIv2___RNAseq.26339_t"
"Pocillopora_acuta_HIv2___RNAseq.g11235.t1",0.897126693858849,391.83898077068,-189.91949038534,3.94096497909255,2.72895562268606,0.229279923313599,0.310917883724747,-0.162842664976205,0.0223696495977344,0.0223304992003899,0.0222751091486839,0.0222961471369148,104.784688286428,194.148687119719,53.3429167457301,1,1,1,1.36155465070219e-24,3.95195755141193e-44,2.80119446014784e-13,2.45379379149548e-21,3.00022444463485e-41,1.8029688057423e-10,-0.424736670474122,-0.203795099551595,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g11235.t1"
"Pocillopora_acuta_HIv2___RNAseq.g5899.t2",0.911406063645809,384.63944727687,-186.319723638435,3.82413410881421,3.17269480945079,-0.600378897865586,-0.274084387009116,0.54181419321221,0.0244656475003273,0.0243785890594598,0.0244208554715826,0.024418459823276,602.95234140482,124.838523259531,492.338977856662,1,1,1,3.81631214552194e-133,5.52094055411522e-29,4.4144807507566e-109,1.71943943716491e-129,3.04825887467329e-26,9.94472151126693e-106,0.37724455444393,-0.362010100272347,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g5899.t2"
"Pocillopora_acuta_HIv2___RNAseq.g20764.t1",0.367355072933137,319.035022935039,-153.51751146752,3.48758784117976,2.22307223631048,0.153375351609632,0.22990871883305,0.0929667157120695,0.0179759912136459,0.0179642304989163,0.0180246058621547,0.0180004725710694,103.521610055921,163.061144371126,26.6739396060924,1,1,1,2.57569322169307e-24,2.42584740010418e-37,2.40848100110454e-07,3.86826193677938e-21,1.63701413490834e-34,0.000103346772861681,-0.302443927038015,-0.431575415893082,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g20764.t1"
"Pocillopora_acuta_HIv2___TS.g12926.t1a",0.145653400542889,443.46199562969,-215.730997814845,5.99607155484126,4.23446771889062,-0.235424432643448,-0.0309682256899311,0.380264690034411,0.0322241484595247,0.0331563909392957,0.0335856687033744,0.0340553762879862,44.6359400687905,0.416568633141242,124.681102540354,1,1,1,2.37295524113851e-11,0.518654214545841,5.97676684294198e-29,1.94388178889992e-08,0.534259062233712,7.69380657453574e-26,0.0440298433528588,-0.496250627088151,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___TS.g12926.t1a"
"Pocillopora_acuta_HIv2___RNAseq.g17551.t1",10.3412382108478,311.748064011909,-149.874032005955,2.18900073000532,3.31436488025314,-0.144467175492625,-2.33120907976222,0.340999884456223,0.0306972611270984,0.0307943327506608,0.0307262889322283,0.0308104130900086,21.6505570804922,5751.08280093213,122.493606469027,1,1,1,3.27114993895717e-06,0,1.79994332128978e-28,0.00196508880666287,0,2.02741115851778e-25,2.95622804109962,2.54395871701803,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g17551.t1"
"Pocillopora_acuta_HIv2___RNAseq.g11525.t1",0.873460966218723,295.058258614644,-141.529129307322,2.5975983976522,2.56066403424428,-0.389485412704868,-1.24787856255433,0.251715352204863,0.0410413611749266,0.0416263318384986,0.0417680032449353,0.0419659529088063,85.9695935885557,888.479997249272,35.977023539118,1,1,1,1.82723732611367e-20,3.13435910556323e-195,1.99658024159499e-09,2.35217650651575e-17,6.34539933484519e-192,9.99510253167359e-07,1.56389478901924,1.20470447459501,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g11525.t1"
"Pocillopora_acuta_HIv2___RNAseq.g5107.t1a",0.266124084508535,445.838705627883,-216.919352813941,5.56078379378125,3.76945781763405,0.248320600818773,0.242390807861385,-0.275612420641109,0.0305332501674241,0.0308958761682142,0.0310881791650336,0.0313121320883891,61.1404348860004,57.8501086952802,77.4769097546294,1,1,1,5.31453446232636e-15,2.82871351060443e-14,1.34283164336085e-18,5.32103000444699e-12,1.14532612404229e-11,1.00835466152705e-15,-0.342677958209054,0.0470675515338757,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g5107.t1a"
