"","Dispersion","AIC","logLik","meanExp","(Intercept)","TreatmentVariable","OriginFlat","TreatmentVariable:OriginFlat","se_(Intercept)","se_TreatmentVariable","se_OriginFlat","se_TreatmentVariable:OriginFlat","Chisq_Treatment","Chisq_Origin","Chisq_Treatment:Origin","Df_Treatment","Df_Origin","Df_Treatment:Origin","P_Treatment","P_Origin","P_Treatment:Origin","Treatment","Origin","Treatment:Origin","Stable_OriginFC","Variable_OriginFC","maxGroupFC","col","Gene"
"Pocillopora_acuta_HIv2___RNAseq.g7479.t3b",0.683830250351721,428.1025610048,-208.0512805024,4.85012120693351,3.24640992506213,-0.15916254267237,0.87484209007989,0.0167422026306039,0.245417095430795,0.34787809768523,0.351955169288049,0.498529157580788,0.367278745268428,12.5544338765933,0.00112783108319507,1,1,1,0.544491334453075,0.000395267326315835,0.973209522007581,0.999999999916938,0.00759557816734582,0.999427929836143,-1.23027329149572,-1.24865526646063,"Variable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g7479.t3b"
"Pocillopora_acuta_HIv2___RNAseq.g30807.t1",0.623245555549613,342.209064873089,-165.104532436544,3.62718338417817,2.22574904404677,-0.0614686192446948,0.810077686711066,0.304500417956816,0.246851691902722,0.349917068286641,0.349228741008461,0.493507445543363,0.137853419343154,15.216919932623,0.380704813270714,1,1,1,0.710424398399474,9.58408544250494e-05,0.537226273423399,0.999999999916938,0.00281197718316566,0.999427929836143,-1.08844156335043,-1.50451871678064,"Variable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g30807.t1"
"Pocillopora_acuta_HIv2___RNAseq.g11044.t1",0.270337277568644,782.010731389898,-385.005365694949,11.1805127535022,7.52756979260275,-0.0435289173666672,0.714995092807171,-0.0357687721552049,0.150183493773168,0.212392814574223,0.217082225172841,0.307002065449476,0.15622736990863,20.609920092789,0.0135745508851867,1,1,1,0.692653907999544,5.63036113735487e-06,0.907248460577479,0.999999999916938,0.000352529916935818,0.999427929836143,-1.03112352898285,-0.979516912121674,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g11044.t1"
"Pocillopora_acuta_HIv2___RNAseq.g7072.t1",0.401752193807563,377.550576546931,-182.775288273466,4.42615146416278,3.09956266517436,-0.251934813210301,0.455719679741097,-0.122538711049123,0.142188700248421,0.151545551682083,0.156834033923757,0.175584064447116,3.93015989107693,7.96676632448801,0.487053220960544,1,1,1,0.0474274348264238,0.00476439760022533,0.485244747990227,0.999999999916938,0.0396442949900341,0.999427929836143,-0.63451106831828,-0.458098773989086,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g7072.t1"
"Pocillopora_acuta_HIv2___RNAseq.g15217.t1",0.137452747503765,398.488554981066,-193.244277490533,5.29275611859373,3.97312141277318,-0.296917752537708,-0.46844813336679,0.442357676243838,0.0707840614532845,0.0831914639715219,0.0880459774093501,0.0920303995984793,5.58558268414693,18.6218553628234,23.1038587362278,1,1,1,0.0181089077450326,1.59382848571772e-05,1.53482373022892e-06,0.999999999916938,0.000780641005929837,0.00055321186532371,0.659995754860394,0.0366991640317753,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g15217.t1"
"Pocillopora_acuta_HIv2___RNAseq.g15715.t1",0.0948631136801322,343.117276962762,-165.558638481381,4.86401596449319,3.17805383034795,0.114691843086709,0.400401806151619,-0.193888884747904,0.106665183480099,0.149595025535461,0.150131338187973,0.211923955086083,0.0291165940467818,8.18215739688638,0.837039059165379,1,1,1,0.864510105379733,0.00423044174815085,0.360244976752483,0.999999999916938,0.0363410747186737,0.999427929836143,-0.558490289359967,-0.288260382121969,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g15715.t1"
"Pocillopora_acuta_HIv2___RNAseq.g6227.t1",2.43564853326562,449.692858875066,-218.846429437533,4.4698647403053,4.32233744759775,0.388693129089823,-1.80941776156607,0.570847586562148,0.45174007777589,0.638577868285714,0.657923023062767,0.927807097110808,2.024284681971,10.7695661342621,0.378551488345875,1,1,1,0.15480180033454,0.00103182693869153,0.538379476496656,0.999999999916938,0.0145737014199294,0.999427929836143,2.51704671498729,1.75569769872041,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g6227.t1"
"Pocillopora_acuta_HIv2___RNAseq.g21909.t1",0.17254133165458,497.51030121306,-242.75515060653,6.87088149270206,5.11603883713274,-0.139585778258394,-0.645234637077444,0.324229228528388,0.13239883213711,0.173578410536865,0.189483988040916,0.252572086341437,0.0116435069850282,11.7394610685468,1.64791050587128,1,1,1,0.914070984841238,0.000611887396256882,0.199243561154527,0.999999999916938,0.0100223302047164,0.999427929836143,0.92309869693766,0.459376444676498,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g21909.t1"
"Pocillopora_acuta_HIv2___RNAseq.g16986.t1",0.0270351720716178,455.117821961255,-221.558910980627,7.19204627159944,4.88466700244192,0.072878944780463,0.187020331505341,-0.0497480449415268,0.0538015576703207,0.0756530533322802,0.0770529146487337,0.108522680579136,0.806588242189842,8.87788861382127,0.21014110462672,1,1,1,0.369130864289666,0.00288645169482549,0.64665683013858,0.999999999916938,0.0291689827059683,0.999427929836143,-0.267965280300966,-0.196749616475388,"Stable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g16986.t1"
"Pocillopora_acuta_HIv2___RNAseq.g3142.t1c",0.304873176892974,299.525356221501,-143.762678110751,3.34519867243418,2.11273526979365,-0.0964443239765356,0.493315763353439,0.274281568323213,0.188365696138262,0.268297210211807,0.264402609871694,0.373823691973201,0.057605028968469,11.3798200130539,0.538343660745905,1,1,1,0.810322134659663,0.000742463111848598,0.46311997886525,0.999999999916938,0.0114739721643516,0.999427929836143,-0.649797451098991,-1.01358103815932,"Variable","q_Origin < 0.05","Pocillopora_acuta_HIv2___RNAseq.g3142.t1c"
