"accessionnumber/geneID","definition","Ref","Pocillopora_acuta_best_hit"
"AAD11470.1","L-type calcium channel alpha-1 subunit","Zoccola et al., 1999","Pocillopora_acuta_HIv2___RNAseq.g21501.t1"
"AAR13013.1","plasma membrane calcium ATPase [Stylophora pistillata]","Zoccola et al., 2004","Pocillopora_acuta_HIv2___RNAseq.g27976.t1"
"ACE95141.1","carbonic anhydrase [Stylophora pistillata]","Moya et al., 2008","Pocillopora_acuta_HIv2___TS.g12304.t1"
"AGE35225.2","CARP1 [Stylophora pistillata]","Mass et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g16280.t1"
"AJQ31790.1","solute carrier family 4 member gamma [Stylophora pistillata]","Zoccola et al., 2015","Pocillopora_acuta_HIv2___RNAseq.g15280.t1"
"aug_v2a.02830","polycystic kidney disease 1-related (PKD1-related) protein","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g16433.t1"
"aug_v2a.02830.t1","polycystic kidney disease 1-related (PKD1-related) protein","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g16433.t1"
"aug_v2a.05945.t1","TSP-1 and VWA domain-containing","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g6446.t1"
"aug_v2a.06122.t1","EGF and laminin G domain-containing protein","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g26221.t1"
"aug_v2a.06123.t1","EGF and laminin G domain-containing protein","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g26221.t1"
"aug_v2a.09809.t1","Mucin4-like protein","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g13823.t1"
"aug_v2a.09968.t1","MAM and LDLr domain-containing protein","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g25935.t1"
"aug_v2a.09969.t1","MAM and LDLr domain-containing protein","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g25935.t1"
"aug_v2a.15064.t1","Cystein-rich","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___TS.g1545.t1b"
"aug_v2a.15580.t1","Laminin G domain-containing protein","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g26221.t1"
"aug_v2a.24015.t1","Hephaestin-like protein","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g27566.t1"
"aug_v2a.24512.t1","EGF and laminin G domain-containing protein","Takeuchi et al., 2016","Pocillopora_acuta_HIv2___RNAseq.g26221.t1"
"EU532164.1","carbonic anhydrase 2","Bertucci et al., 2011","Pocillopora_acuta_HIv2___TS.g12304.t1"
"Gene:g29033.t1","Annotated: Carbonic Anhydrase (STPCA2-1)","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___TS.g12304.t1"
"Gene:g1484","Annotated: CARP1","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g16280.t1"
"Gene:g15955","Annotated: MAM and LDL receptor-containing protein (MAM LDL-2)","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g25935.t1"
"Gene:g27814","Annotated: carbonic anhydrase (STPCA2-2)","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g13824.t1"
"Gene:g2829","Annotated: Thrombospondin-like protein (Thrombospondin)","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g6446.t1"
"Gene:g2829.t1","Annotated: Coadhesin","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g6446.t1"
"Gene:g29034.t1","Annotated: CarbonicAnhyrase","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___TS.g12304.t1"
"Gene:g34749","Annotated: EGF and LamininG-Like (EGF LamG2)","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g26221.t1"
"Gene:g5735.t1","Annotated: Tolloid-Like","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g26037.t1"
"Gene:g7086","Annotated: EGF and LamininG-Like (EGF LamG1)","Mummadisetti et al., 2021","Pocillopora_acuta_HIv2___RNAseq.g26221.t1"
"JR980881.1","EGF and laminin G domain-containing protein","Ramos-Silva et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g26221.t1"
"JR982706.1","Uncharacterized skeletal organic matrix protein-2  (USOMP-2)","Ramos-Silva et al., 2013","Pocillopora_acuta_HIv2___TS.g1545.t1b"
"JR994474.1","MAM and LDL-receptor domain- containing protein 2","Ramos-Silva et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g25935.t1"
"JR997000.1","Uncharacterized skeletal organic matrix protein-3  (USOMP-3)","Ramos-Silva et al., 2013","Pocillopora_acuta_HIv2___TS.g23724.t1a"
"JT011118.1","MAM and LDL-receptor domain- containing protein 1","Ramos-Silva et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g25935.t1"
"P13_g6918","Sushi domain-containing","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g13823.t1"
"P14_g9951","clone g9951 alpha collagen-like protein gene","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g6446.t1"
"P19_g20041","Contactin-associated protein","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g26221.t1"
"P20_g6066","MAM domain anchor protein","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g25935.t1"
"P27_g18472","Integrin - alpha","Drake et al., 2013","Pocillopora_acuta_HIv2___TS.g15792.t1"
"P28_g11651","Late embryogenesis protein","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g16715.t1"
"P3_g12510","Thrombospondin","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g6446.t1"
"P31_g20420","Neurexin","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g26221.t1"
"P34_g1714","MAM/LDL receptor domain containing protein","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g25935.t1"
"P36_g13890","Zonadhesion-like precursor","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g25935.t1"
"P5_g11674","Hemicentin","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g6446.t1"
"P8_g9654","Major yolk protein","Drake et al., 2013","Pocillopora_acuta_HIv2___RNAseq.g14653.t1"
"PFX18785.1","Mucin-4 [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g13823.t1"
"PFX26597.1","Complement C3 [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g8821.t1"
"PFX30903.1","hypothetical protein AWC38_SpisGene4292 [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___TS.g15792.t1"
"XP_022783415.1","coadhesin-like isoform X3 [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g6446.t1"
"XP_022786918.1","major yolk protein-like isoform X2 [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g14653.t1"
"XP_022788227.1","hephaestin-like protein [Stylophora pistillata]","Peled et al., 2020","Pocillopora_acuta_HIv2___RNAseq.g27566.t1"
